concept_id,domain,domain_zh,subdomain,subdomain_zh,concept_zh,concept_en,concept_type,capability_label,priority,risk_reason,static_shortcut_risk,video_availability_guess,accepted_answers_json,direct_answer_question,retrieval_query_seed
vdcr_concept_0017,physics_physical_systems,自然物理规律,physics_family_03,波动、振动与非线性动力学,驻波形成,Standing Wave Formation,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Standing Wave Formation"", ""驻波形成""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Standing Wave Formation
vdcr_concept_0018,physics_physical_systems,自然物理规律,physics_family_03,波动、振动与非线性动力学,波的相干干涉,Coherent Wave Interference,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Coherent Wave Interference"", ""波的相干干涉""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Coherent Wave Interference
vdcr_concept_0019,physics_physical_systems,自然物理规律,physics_family_03,波动、振动与非线性动力学,法拉第波,Faraday Waves,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Faraday Waves"", ""法拉第波""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Faraday Waves
vdcr_concept_0020,physics_physical_systems,自然物理规律,physics_family_03,波动、振动与非线性动力学,参数共振,Parametric Resonance,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Parametric Resonance"", ""参数共振""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Parametric Resonance
vdcr_concept_0021,physics_physical_systems,自然物理规律,physics_family_03,波动、振动与非线性动力学,耦合摆同步,Coupled Pendulum Synchronization,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Coupled Pendulum Synchronization"", ""耦合摆同步""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Coupled Pendulum Synchronization
vdcr_concept_0022,physics_physical_systems,自然物理规律,physics_family_03,波动、振动与非线性动力学,阻尼振荡,Damped Oscillation,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Damped Oscillation"", ""阻尼振荡""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Damped Oscillation
vdcr_concept_0023,physics_physical_systems,自然物理规律,physics_family_03,波动、振动与非线性动力学,双摆混沌,Double Pendulum Chaos,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Double Pendulum Chaos"", ""双摆混沌""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Double Pendulum Chaos
vdcr_concept_0024,physics_physical_systems,自然物理规律,physics_family_04,刚体与颗粒动力学,陀螺进动,Gyroscopic Precession,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Gyroscopic Precession"", ""陀螺进动""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Gyroscopic Precession
vdcr_concept_0025,physics_physical_systems,自然物理规律,physics_family_04,刚体与颗粒动力学,贾尼别科夫效应/网球拍定理,Dzhanibekov Effect / Tennis Racket Theorem,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Dzhanibekov Effect / Tennis Racket Theorem"", ""贾尼别科夫效应/网球拍定理"", ""Dzhanibekov Effect"", ""Tennis Racket Theorem""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Dzhanibekov Effect / Tennis Racket Theorem
vdcr_concept_0026,physics_physical_systems,自然物理规律,physics_family_04,刚体与颗粒动力学,欧拉圆盘运动,Euler's Disk Motion,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Euler's Disk Motion"", ""欧拉圆盘运动""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Euler's Disk Motion
vdcr_concept_0027,physics_physical_systems,自然物理规律,physics_family_04,刚体与颗粒动力学,弹性摆运动,Elastic Pendulum Motion,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Elastic Pendulum Motion"", ""弹性摆运动""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Elastic Pendulum Motion
vdcr_concept_0028,physics_physical_systems,自然物理规律,physics_family_04,刚体与颗粒动力学,巴西坚果效应,Brazil Nut Effect,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Brazil Nut Effect"", ""巴西坚果效应""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Brazil Nut Effect
vdcr_concept_0029,physics_physical_systems,自然物理规律,physics_family_04,刚体与颗粒动力学,颗粒对流,Granular Convection,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Granular Convection"", ""颗粒对流""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Granular Convection
vdcr_concept_0030,physics_physical_systems,自然物理规律,physics_family_04,刚体与颗粒动力学,颗粒表面雪崩,Granular Surface Avalanche,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Granular Surface Avalanche"", ""颗粒表面雪崩""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Granular Surface Avalanche
vdcr_concept_0031,physics_physical_systems,自然物理规律,physics_family_04,刚体与颗粒动力学,黏滑运动,Stick-Slip Motion,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Stick-Slip Motion"", ""黏滑运动""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Stick-Slip Motion
vdcr_concept_0032,physics_physical_systems,自然物理规律,physics_family_05,液滴冲击、喷射与飞溅,冠状飞溅,Crown Splash,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Crown Splash"", ""冠状飞溅""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Crown Splash
vdcr_concept_0033,physics_physical_systems,自然物理规律,physics_family_05,液滴冲击、喷射与飞溅,沃辛顿射流,Worthington Jet,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Worthington Jet"", ""沃辛顿射流""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Worthington Jet
vdcr_concept_0034,physics_physical_systems,自然物理规律,physics_family_05,液滴冲击、喷射与飞溅,液滴反弹,Droplet Rebound,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,high,medium,"[""Droplet Rebound"", ""液滴反弹""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Droplet Rebound
vdcr_concept_0035,physics_physical_systems,自然物理规律,physics_family_05,液滴冲击、喷射与飞溅,液滴铺展-回缩,Droplet Spreading and Retraction,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Droplet Spreading and Retraction"", ""液滴铺展-回缩""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Droplet Spreading and Retraction
vdcr_concept_0036,physics_physical_systems,自然物理规律,physics_family_05,液滴冲击、喷射与飞溅,液滴撞击铺展,Droplet Impact Spreading,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Droplet Impact Spreading"", ""液滴撞击铺展""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Droplet Impact Spreading
vdcr_concept_0037,physics_physical_systems,自然物理规律,physics_family_05,液滴冲击、喷射与飞溅,液丝破碎雾化,Ligament-Mediated Atomization,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,high,medium,"[""Ligament-Mediated Atomization"", ""液丝破碎雾化""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Ligament-Mediated Atomization
vdcr_concept_0038,physics_physical_systems,自然物理规律,physics_family_05,液滴冲击、喷射与飞溅,气泡破裂射流,Bubble-Bursting Jet,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Bubble-Bursting Jet"", ""气泡破裂射流""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Bubble-Bursting Jet
vdcr_concept_0039,physics_physical_systems,自然物理规律,physics_family_05,液滴冲击、喷射与飞溅,涡环形成,Vortex Ring Formation,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Vortex Ring Formation"", ""涡环形成""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Vortex Ring Formation
vdcr_concept_0040,physics_physical_systems,自然物理规律,physics_family_06,压缩流与冲击波,激波传播,Shock Wave Propagation,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Shock Wave Propagation"", ""激波传播""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Shock Wave Propagation
vdcr_concept_0041,physics_physical_systems,自然物理规律,physics_family_06,压缩流与冲击波,马赫锥形成,Mach Cone Formation,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Mach Cone Formation"", ""马赫锥形成""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Mach Cone Formation
vdcr_concept_0042,physics_physical_systems,自然物理规律,physics_family_06,压缩流与冲击波,弓形激波,Bow Shock,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Bow Shock"", ""弓形激波""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Bow Shock
vdcr_concept_0043,physics_physical_systems,自然物理规律,physics_family_06,压缩流与冲击波,普朗特-迈耶膨胀扇,Prandtl-Meyer Expansion Fan,自然动态机制,dynamic_mechanism_concept,C,likely_requires_simulation_instrumentation_or_long_timescale_review,medium,low,"[""Prandtl-Meyer Expansion Fan"", ""普朗特-迈耶膨胀扇""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Prandtl-Meyer Expansion Fan
vdcr_concept_0044,physics_physical_systems,自然物理规律,physics_family_06,压缩流与冲击波,爆轰波前传播,Detonation Front Propagation,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Detonation Front Propagation"", ""爆轰波前传播""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Detonation Front Propagation
vdcr_concept_0045,physics_physical_systems,自然物理规律,physics_family_06,压缩流与冲击波,瑞利-泰勒冲击混合,Shock-Driven Rayleigh-Taylor Mixing,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Shock-Driven Rayleigh-Taylor Mixing"", ""瑞利-泰勒冲击混合""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Shock-Driven Rayleigh-Taylor Mixing
vdcr_concept_0046,physics_physical_systems,自然物理规律,physics_family_06,压缩流与冲击波,激波-边界层相互作用,Shock-Boundary-Layer Interaction,自然动态机制,dynamic_mechanism_concept,C,likely_requires_simulation_instrumentation_or_long_timescale_review,medium,low,"[""Shock-Boundary-Layer Interaction"", ""激波-边界层相互作用""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Shock-Boundary-Layer Interaction
vdcr_concept_0047,physics_physical_systems,自然物理规律,physics_family_07,电磁与等离子体动态,磁场重联,Magnetic Reconnection,自然动态机制,dynamic_mechanism_concept,C,likely_requires_simulation_instrumentation_or_long_timescale_review,medium,low,"[""Magnetic Reconnection"", ""磁场重联""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Magnetic Reconnection
vdcr_concept_0048,physics_physical_systems,自然物理规律,physics_family_07,电磁与等离子体动态,等离子体丝化,Plasma Filamentation,自然动态机制,dynamic_mechanism_concept,C,likely_requires_simulation_instrumentation_or_long_timescale_review,medium,low,"[""Plasma Filamentation"", ""等离子体丝化""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Plasma Filamentation
vdcr_concept_0049,physics_physical_systems,自然物理规律,physics_family_07,电磁与等离子体动态,辉光放电扩展,Glow Discharge Propagation,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Glow Discharge Propagation"", ""辉光放电扩展""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Glow Discharge Propagation
vdcr_concept_0050,physics_physical_systems,自然物理规律,physics_family_07,电磁与等离子体动态,电弧形成与弯曲,Electric Arc Formation and Bending,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Electric Arc Formation and Bending"", ""电弧形成与弯曲""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Electric Arc Formation and Bending
vdcr_concept_0051,physics_physical_systems,自然物理规律,physics_family_07,电磁与等离子体动态,介质阻挡放电流光,Dielectric Barrier Discharge Streamers,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Dielectric Barrier Discharge Streamers"", ""介质阻挡放电流光""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Dielectric Barrier Discharge Streamers
vdcr_concept_0052,physics_physical_systems,自然物理规律,physics_family_07,电磁与等离子体动态,太阳日珥喷发,Solar Prominence Eruption,自然动态机制,dynamic_mechanism_concept,C,likely_requires_simulation_instrumentation_or_long_timescale_review,medium,medium,"[""Solar Prominence Eruption"", ""太阳日珥喷发""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Solar Prominence Eruption
vdcr_concept_0053,physics_physical_systems,自然物理规律,physics_family_07,电磁与等离子体动态,日冕物质抛射,Coronal Mass Ejection,自然动态机制,dynamic_mechanism_concept,C,likely_requires_simulation_instrumentation_or_long_timescale_review,medium,medium,"[""Coronal Mass Ejection"", ""日冕物质抛射""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Coronal Mass Ejection
vdcr_concept_0054,physics_physical_systems,自然物理规律,physics_family_08,热过程与浮力驱动流,自然对流羽流,Natural Convection Plume,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Natural Convection Plume"", ""自然对流羽流""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Natural Convection Plume
vdcr_concept_0055,physics_physical_systems,自然物理规律,physics_family_08,热过程与浮力驱动流,瑞利-贝纳德对流,Rayleigh-Benard Convection,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Rayleigh-Benard Convection"", ""瑞利-贝纳德对流""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Rayleigh-Benard Convection
vdcr_concept_0056,physics_physical_systems,自然物理规律,physics_family_08,热过程与浮力驱动流,沸腾气泡成核与脱离,Boiling Bubble Nucleation and Departure,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Boiling Bubble Nucleation and Departure"", ""沸腾气泡成核与脱离""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Boiling Bubble Nucleation and Departure
vdcr_concept_0057,physics_physical_systems,自然物理规律,physics_family_08,热过程与浮力驱动流,膜态沸腾,Film Boiling,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Film Boiling"", ""膜态沸腾""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Film Boiling
vdcr_concept_0058,physics_physical_systems,自然物理规律,physics_family_08,热过程与浮力驱动流,热毛细对流,Thermocapillary Convection,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Thermocapillary Convection"", ""热毛细对流""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Thermocapillary Convection
vdcr_concept_0059,chemistry_materials_change,物质变化机制,materials_family_01,流变与非牛顿响应,剪切增稠,Shear Thickening,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Shear Thickening"", ""剪切增稠""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Shear Thickening
vdcr_concept_0060,chemistry_materials_change,物质变化机制,materials_family_01,流变与非牛顿响应,剪切变稀,Shear Thinning,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Shear Thinning"", ""剪切变稀""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Shear Thinning
vdcr_concept_0061,chemistry_materials_change,物质变化机制,materials_family_01,流变与非牛顿响应,触变性,Thixotropy,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Thixotropy"", ""触变性""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Thixotropy
vdcr_concept_0062,chemistry_materials_change,物质变化机制,materials_family_01,流变与非牛顿响应,黏弹回弹,Viscoelastic Recoil,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Viscoelastic Recoil"", ""黏弹回弹""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Viscoelastic Recoil
vdcr_concept_0063,chemistry_materials_change,物质变化机制,materials_family_01,流变与非牛顿响应,宾汉屈服流动,Bingham Yield Flow,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Bingham Yield Flow"", ""宾汉屈服流动""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Bingham Yield Flow
vdcr_concept_0064,chemistry_materials_change,物质变化机制,materials_family_01,流变与非牛顿响应,魏森贝格爬杆效应,Weissenberg Rod-Climbing Effect,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Weissenberg Rod-Climbing Effect"", ""魏森贝格爬杆效应""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Weissenberg Rod-Climbing Effect
vdcr_concept_0065,chemistry_materials_change,物质变化机制,materials_family_02,晶体生长与相变前沿,晶核形成,Crystal Nucleation,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Crystal Nucleation"", ""晶核形成""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Crystal Nucleation
vdcr_concept_0066,chemistry_materials_change,物质变化机制,materials_family_02,晶体生长与相变前沿,树枝状晶体生长,Dendritic Crystal Growth,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Dendritic Crystal Growth"", ""树枝状晶体生长""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Dendritic Crystal Growth
vdcr_concept_0067,chemistry_materials_change,物质变化机制,materials_family_02,晶体生长与相变前沿,球晶生长,Spherulitic Growth,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Spherulitic Growth"", ""球晶生长""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Spherulitic Growth
vdcr_concept_0068,chemistry_materials_change,物质变化机制,materials_family_02,晶体生长与相变前沿,结晶前沿推进,Crystallization Front Propagation,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Crystallization Front Propagation"", ""结晶前沿推进""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Crystallization Front Propagation
vdcr_concept_0069,chemistry_materials_change,物质变化机制,materials_family_02,晶体生长与相变前沿,过冷液体瞬时结晶,Supercooled Liquid Rapid Crystallization,实验动态图样,experimental_dynamic_pattern,A,strong_temporal_signature_and_named_dynamic_concept,medium,high,"[""Supercooled Liquid Rapid Crystallization"", ""过冷液体瞬时结晶""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Supercooled Liquid Rapid Crystallization
vdcr_concept_0070,chemistry_materials_change,物质变化机制,materials_family_03,反应动力学与振荡反应,碘钟反应,Iodine Clock Reaction,实验动态图样,experimental_dynamic_pattern,A,strong_temporal_signature_and_named_dynamic_concept,medium,high,"[""Iodine Clock Reaction"", ""碘钟反应""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Iodine Clock Reaction
vdcr_concept_0071,chemistry_materials_change,物质变化机制,materials_family_03,反应动力学与振荡反应,蓝瓶反应,Blue Bottle Reaction,实验动态图样,experimental_dynamic_pattern,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,high,"[""Blue Bottle Reaction"", ""蓝瓶反应""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Blue Bottle Reaction
