concept_id,domain,domain_zh,subdomain,subdomain_zh,concept_zh,concept_en,concept_type,capability_label,priority,risk_reason,static_shortcut_risk,video_availability_guess,accepted_answers_json,direct_answer_question,retrieval_query_seed,concept_validity_tier,tier_reason,recommended_answer_en,recommended_answer_zh,production_gate
vdcr_concept_0011,physics_physical_systems,自然物理规律,physics_family_02,表面张力与界面动力学,液滴并合,Droplet Coalescence,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Droplet Coalescence"", ""液滴并合""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Droplet Coalescence,strict_main_candidate,usable_only_after_video_specific_gate,Capillary-Driven Droplet Coalescence,毛细驱动液滴并合,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0012,physics_physical_systems,自然物理规律,physics_family_02,表面张力与界面动力学,毛细断裂,Capillary Breakup,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Capillary Breakup"", ""毛细断裂""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Capillary Breakup,strict_main_candidate,usable_only_after_video_specific_gate,Capillary-Driven Jet/Thread Breakup,毛细驱动射流/液丝断裂,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0013,physics_physical_systems,自然物理规律,physics_family_02,表面张力与界面动力学,液桥颈缩断裂,Liquid Bridge Pinch-Off,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Liquid Bridge Pinch-Off"", ""液桥颈缩断裂""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Liquid Bridge Pinch-Off,strict_main_candidate,valid_name_but_requires_extra_visual_gate,Liquid Bridge Pinch-Off,液桥颈缩断裂,must_show_bridge_stretching_necking_and_final_breakup_sequence
vdcr_concept_0014,physics_physical_systems,自然物理规律,physics_family_02,表面张力与界面动力学,莱顿弗罗斯特液滴运动,Leidenfrost Droplet Motion,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Leidenfrost Droplet Motion"", ""莱顿弗罗斯特液滴运动""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Leidenfrost Droplet Motion,strict_main_candidate,valid_name_but_requires_extra_visual_gate,Leidenfrost Droplet Motion,莱顿弗罗斯特液滴运动,must_show_hot_surface_vapor_cushion_behavior_sustained_sliding_or_lifetime_change_without_text_leakage
vdcr_concept_0015,physics_physical_systems,自然物理规律,physics_family_02,表面张力与界面动力学,马兰戈尼驱动流,Marangoni-Driven Flow,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Marangoni-Driven Flow"", ""马兰戈尼驱动流""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Marangoni-Driven Flow,strict_main_candidate,valid_name_but_requires_extra_visual_gate,Marangoni-Driven Flow,马兰戈尼驱动流,must_show_surface_tension_gradient_driven_directed_transport_with_source_double_check
vdcr_concept_0016,physics_physical_systems,自然物理规律,physics_family_02,表面张力与界面动力学,接触线钉扎-脱钉,Contact-Line Pinning and Depinning,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Contact-Line Pinning and Depinning"", ""接触线钉扎-脱钉""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Contact-Line Pinning and Depinning,strict_main_candidate,usable_only_after_video_specific_gate,Contact-Line Pinning and Depinning,接触线钉扎-脱钉,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0017,physics_physical_systems,自然物理规律,physics_family_03,波动、振动与非线性动力学,驻波形成,Standing Wave Formation,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Standing Wave Formation"", ""驻波形成""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Standing Wave Formation,core_main,strong_named_temporal_signature,Standing-Wave Mode Formation,驻波模态形成,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0018,physics_physical_systems,自然物理规律,physics_family_03,波动、振动与非线性动力学,波的相干干涉,Coherent Wave Interference,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Coherent Wave Interference"", ""波的相干干涉""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Coherent Wave Interference,strict_main_candidate,usable_only_after_video_specific_gate,Coherent Interference Pattern Formation,相干干涉图样形成,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0019,physics_physical_systems,自然物理规律,physics_family_03,波动、振动与非线性动力学,法拉第波,Faraday Waves,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Faraday Waves"", ""法拉第波""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Faraday Waves,core_main,strong_named_temporal_signature,Faraday Waves,法拉第波,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0020,physics_physical_systems,自然物理规律,physics_family_03,波动、振动与非线性动力学,参数共振,Parametric Resonance,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Parametric Resonance"", ""参数共振""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Parametric Resonance,strict_main_candidate,usable_only_after_video_specific_gate,Parametric Resonance,参数共振,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0021,physics_physical_systems,自然物理规律,physics_family_03,波动、振动与非线性动力学,耦合摆同步,Coupled Pendulum Synchronization,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Coupled Pendulum Synchronization"", ""耦合摆同步""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Coupled Pendulum Synchronization,strict_main_candidate,usable_only_after_video_specific_gate,Coupled Pendulum Synchronization,耦合摆同步,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0022,physics_physical_systems,自然物理规律,physics_family_03,波动、振动与非线性动力学,阻尼振荡,Damped Oscillation,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Damped Oscillation"", ""阻尼振荡""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Damped Oscillation,strict_main_candidate,valid_name_but_requires_extra_visual_gate,Damped Oscillation,阻尼振荡,must_show_repeated_oscillation_cycles_with_visibly_decaying_amplitude
vdcr_concept_0023,physics_physical_systems,自然物理规律,physics_family_03,波动、振动与非线性动力学,双摆混沌,Double Pendulum Chaos,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Double Pendulum Chaos"", ""双摆混沌""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Double Pendulum Chaos,strict_main_candidate,usable_only_after_video_specific_gate,Double Pendulum Chaos,双摆混沌,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0024,physics_physical_systems,自然物理规律,physics_family_04,刚体与颗粒动力学,陀螺进动,Gyroscopic Precession,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Gyroscopic Precession"", ""陀螺进动""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Gyroscopic Precession,core_main,strong_named_temporal_signature,Gyroscopic Precession,陀螺进动,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0025,physics_physical_systems,自然物理规律,physics_family_04,刚体与颗粒动力学,贾尼别科夫效应/网球拍定理,Dzhanibekov Effect / Tennis Racket Theorem,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Dzhanibekov Effect / Tennis Racket Theorem"", ""贾尼别科夫效应/网球拍定理"", ""Dzhanibekov Effect"", ""Tennis Racket Theorem""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Dzhanibekov Effect / Tennis Racket Theorem,core_main,strong_named_temporal_signature,Dzhanibekov Effect / Tennis Racket Theorem,贾尼别科夫效应/网球拍定理,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0026,physics_physical_systems,自然物理规律,physics_family_04,刚体与颗粒动力学,欧拉圆盘运动,Euler's Disk Motion,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Euler's Disk Motion"", ""欧拉圆盘运动""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Euler's Disk Motion,strict_main_candidate,usable_only_after_video_specific_gate,Euler's Disk Motion,欧拉圆盘运动,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0027,physics_physical_systems,自然物理规律,physics_family_04,刚体与颗粒动力学,弹性摆运动,Elastic Pendulum Motion,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Elastic Pendulum Motion"", ""弹性摆运动""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Elastic Pendulum Motion,strict_main_candidate,usable_only_after_video_specific_gate,Elastic Pendulum Motion,弹性摆运动,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0028,physics_physical_systems,自然物理规律,physics_family_04,刚体与颗粒动力学,巴西坚果效应,Brazil Nut Effect,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Brazil Nut Effect"", ""巴西坚果效应""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Brazil Nut Effect,core_main,strong_named_temporal_signature,Brazil Nut Effect,巴西坚果效应,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0029,physics_physical_systems,自然物理规律,physics_family_04,刚体与颗粒动力学,颗粒对流,Granular Convection,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Granular Convection"", ""颗粒对流""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Granular Convection,strict_main_candidate,usable_only_after_video_specific_gate,Granular Convection,颗粒对流,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0030,physics_physical_systems,自然物理规律,physics_family_04,刚体与颗粒动力学,颗粒表面雪崩,Granular Surface Avalanche,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Granular Surface Avalanche"", ""颗粒表面雪崩""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Granular Surface Avalanche,strict_main_candidate,usable_only_after_video_specific_gate,Granular Surface Avalanche,颗粒表面雪崩,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0031,physics_physical_systems,自然物理规律,physics_family_04,刚体与颗粒动力学,黏滑运动,Stick-Slip Motion,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Stick-Slip Motion"", ""黏滑运动""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Stick-Slip Motion,strict_main_candidate,usable_only_after_video_specific_gate,Stick-Slip Motion,黏滑运动,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0032,physics_physical_systems,自然物理规律,physics_family_05,液滴冲击、喷射与飞溅,冠状飞溅,Crown Splash,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Crown Splash"", ""冠状飞溅""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Crown Splash,core_main,strong_named_temporal_signature,Crown Splash,冠状飞溅,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0033,physics_physical_systems,自然物理规律,physics_family_05,液滴冲击、喷射与飞溅,沃辛顿射流,Worthington Jet,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Worthington Jet"", ""沃辛顿射流""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Worthington Jet,core_main,strong_named_temporal_signature,Worthington Jet,沃辛顿射流,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0034,physics_physical_systems,自然物理规律,physics_family_05,液滴冲击、喷射与飞溅,液滴反弹,Droplet Rebound,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,high,medium,"[""Droplet Rebound"", ""液滴反弹""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Droplet Rebound,strict_main_candidate,valid_name_but_requires_extra_visual_gate,Inertia-Capillarity Droplet Rebound,惯性-毛细液滴反弹,must_show_impact_deformation_capillary_retraction_and_liftoff_sequence
vdcr_concept_0035,physics_physical_systems,自然物理规律,physics_family_05,液滴冲击、喷射与飞溅,液滴铺展-回缩,Droplet Spreading and Retraction,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Droplet Spreading and Retraction"", ""液滴铺展-回缩""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Droplet Spreading and Retraction,strict_main_candidate,usable_only_after_video_specific_gate,Droplet Spreading and Retraction,液滴铺展-回缩,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0036,physics_physical_systems,自然物理规律,physics_family_05,液滴冲击、喷射与飞溅,液滴撞击铺展,Droplet Impact Spreading,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Droplet Impact Spreading"", ""液滴撞击铺展""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Droplet Impact Spreading,strict_main_candidate,valid_name_but_requires_extra_visual_gate,Inertia-Driven Droplet Impact Spreading,惯性驱动液滴撞击铺展,must_show_impact_then_radial_spreading_sequence
vdcr_concept_0037,physics_physical_systems,自然物理规律,physics_family_05,液滴冲击、喷射与飞溅,液丝破碎雾化,Ligament-Mediated Atomization,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,high,medium,"[""Ligament-Mediated Atomization"", ""液丝破碎雾化""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Ligament-Mediated Atomization,strict_main_candidate,usable_only_after_video_specific_gate,Ligament-Mediated Atomization,液丝破碎雾化,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0038,physics_physical_systems,自然物理规律,physics_family_05,液滴冲击、喷射与飞溅,气泡破裂射流,Bubble-Bursting Jet,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Bubble-Bursting Jet"", ""气泡破裂射流""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Bubble-Bursting Jet,strict_main_candidate,usable_only_after_video_specific_gate,Bubble-Bursting Jet,气泡破裂射流,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0039,physics_physical_systems,自然物理规律,physics_family_05,液滴冲击、喷射与飞溅,涡环形成,Vortex Ring Formation,自然动态机制,dynamic_mechanism_concept,A,strong_temporal_signature_and_named_dynamic_concept,medium,medium,"[""Vortex Ring Formation"", ""涡环形成""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Vortex Ring Formation,core_main,strong_named_temporal_signature,Vortex Ring Formation,涡环形成,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0040,physics_physical_systems,自然物理规律,physics_family_06,压缩流与冲击波,激波传播,Shock Wave Propagation,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Shock Wave Propagation"", ""激波传播""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Shock Wave Propagation,strict_main_candidate,valid_name_but_requires_extra_visual_gate,Shock Wave Propagation,激波传播,must_show_clear_shock_front_or_compression_front_propagating_not_static_schlieren_frame
vdcr_concept_0041,physics_physical_systems,自然物理规律,physics_family_06,压缩流与冲击波,马赫锥形成,Mach Cone Formation,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Mach Cone Formation"", ""马赫锥形成""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Mach Cone Formation,strict_main_candidate,usable_only_after_video_specific_gate,Mach Cone Formation,马赫锥形成,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0042,physics_physical_systems,自然物理规律,physics_family_06,压缩流与冲击波,弓形激波,Bow Shock,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Bow Shock"", ""弓形激波""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Bow Shock,strict_main_candidate,usable_only_after_video_specific_gate,Bow Shock,弓形激波,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0043,physics_physical_systems,自然物理规律,physics_family_06,压缩流与冲击波,普朗特-迈耶膨胀扇,Prandtl-Meyer Expansion Fan,自然动态机制,dynamic_mechanism_concept,C,likely_requires_simulation_instrumentation_or_long_timescale_review,medium,low,"[""Prandtl-Meyer Expansion Fan"", ""普朗特-迈耶膨胀扇""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Prandtl-Meyer Expansion Fan,defer_or_remove,typically_requires_schlieren_or_simulation_context,Prandtl-Meyer Expansion Fan,普朗特-迈耶膨胀扇,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0044,physics_physical_systems,自然物理规律,physics_family_06,压缩流与冲击波,爆轰波前传播,Detonation Front Propagation,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Detonation Front Propagation"", ""爆轰波前传播""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Detonation Front Propagation,strict_main_candidate,usable_only_after_video_specific_gate,Detonation Front Propagation,爆轰波前传播,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0045,physics_physical_systems,自然物理规律,physics_family_06,压缩流与冲击波,瑞利-泰勒冲击混合,Shock-Driven Rayleigh-Taylor Mixing,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Shock-Driven Rayleigh-Taylor Mixing"", ""瑞利-泰勒冲击混合""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Shock-Driven Rayleigh-Taylor Mixing,strict_main_candidate,usable_only_after_video_specific_gate,Shock-Driven Rayleigh-Taylor Mixing,瑞利-泰勒冲击混合,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0046,physics_physical_systems,自然物理规律,physics_family_06,压缩流与冲击波,激波-边界层相互作用,Shock-Boundary-Layer Interaction,自然动态机制,dynamic_mechanism_concept,C,likely_requires_simulation_instrumentation_or_long_timescale_review,medium,low,"[""Shock-Boundary-Layer Interaction"", ""激波-边界层相互作用""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Shock-Boundary-Layer Interaction,extension,candidate_is_source_or_availability_heavy,Shock-Boundary-Layer Interaction,激波-边界层相互作用,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0047,physics_physical_systems,自然物理规律,physics_family_07,电磁与等离子体动态,磁场重联,Magnetic Reconnection,自然动态机制,dynamic_mechanism_concept,C,likely_requires_simulation_instrumentation_or_long_timescale_review,medium,low,"[""Magnetic Reconnection"", ""磁场重联""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Magnetic Reconnection,extension,candidate_is_source_or_availability_heavy,Magnetic Reconnection,磁场重联,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0048,physics_physical_systems,自然物理规律,physics_family_07,电磁与等离子体动态,等离子体丝化,Plasma Filamentation,自然动态机制,dynamic_mechanism_concept,C,likely_requires_simulation_instrumentation_or_long_timescale_review,medium,low,"[""Plasma Filamentation"", ""等离子体丝化""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Plasma Filamentation,extension,candidate_is_source_or_availability_heavy,Plasma Filamentation,等离子体丝化,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0049,physics_physical_systems,自然物理规律,physics_family_07,电磁与等离子体动态,辉光放电扩展,Glow Discharge Propagation,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Glow Discharge Propagation"", ""辉光放电扩展""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Glow Discharge Propagation,strict_main_candidate,usable_only_after_video_specific_gate,Glow Discharge Propagation,辉光放电扩展,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0050,physics_physical_systems,自然物理规律,physics_family_07,电磁与等离子体动态,电弧形成与弯曲,Electric Arc Formation and Bending,自然动态机制,dynamic_mechanism_concept,B,usable_candidate_requires_video_availability_and_static_shortcut_review,medium,medium,"[""Electric Arc Formation and Bending"", ""电弧形成与弯曲""]",Which named dynamic concept is instantiated by the temporally evolving process in this video?,Electric Arc Formation and Bending,strict_main_candidate,usable_only_after_video_specific_gate,Electric Arc Formation and Bending,电弧形成与弯曲,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
