concept_id,domain,subdomain,concept_en,concept_zh,concept_validity_tier,priority,video_availability_guess,current_seed_samples,current_candidates,current_review_queue,target_candidates_per_concept,needed_candidates,expansion_role,query_priority,production_gate
vdcr_concept_0149,biology_living_systems,biology_family_04,Tendril Circumnutation,卷须旋转探寻,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|biology_living_systems|Tendril Circumnutation,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0150,biology_living_systems,biology_family_04,Tendril Coiling,卷须缠绕,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|biology_living_systems|Tendril Coiling,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0179,biology_living_systems,biology_family_08,Tissue Invagination,组织内陷,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|biology_living_systems|Tissue Invagination,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0165,biology_living_systems,biology_family_06,Vesicle Budding,囊泡出芽,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|biology_living_systems|Vesicle Budding,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0166,biology_living_systems,biology_family_06,Vesicle Fusion,囊泡融合,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|biology_living_systems|Vesicle Fusion,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0063,chemistry_materials_change,materials_family_01,Bingham Yield Flow,宾汉屈服流动,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|chemistry_materials_change|Bingham Yield Flow,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_concept_0092,chemistry_materials_change,materials_family_07,Cellular Flame Instability,火焰胞状不稳定性,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|chemistry_materials_change|Cellular Flame Instability,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_concept_0105,chemistry_materials_change,materials_family_09,Gel Deswelling Collapse,凝胶去溶胀塌缩,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|chemistry_materials_change|Gel Deswelling Collapse,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_concept_0087,chemistry_materials_change,materials_family_06,Nucleation-and-Growth Phase Separation,成核与生长相分离,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|chemistry_materials_change|Nucleation-and-Growth Phase Separation,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_concept_0088,chemistry_materials_change,materials_family_06,Phase Boundary Migration,相界面迁移,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|chemistry_materials_change|Phase Boundary Migration,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_concept_0091,chemistry_materials_change,materials_family_07,Premixed Flame Propagation,预混火焰传播,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|chemistry_materials_change|Premixed Flame Propagation,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_concept_0060,chemistry_materials_change,materials_family_01,Shear Thinning,剪切变稀,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|chemistry_materials_change|Shear Thinning,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_concept_0067,chemistry_materials_change,materials_family_02,Spherulitic Growth,球晶生长,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|chemistry_materials_change|Spherulitic Growth,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_concept_0080,chemistry_materials_change,materials_family_05,Surfactant-Driven Droplet Motion,表面活性剂驱动液滴运动,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|chemistry_materials_change|Surfactant-Driven Droplet Motion,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_concept_0061,chemistry_materials_change,materials_family_01,Thixotropy,触变性,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|chemistry_materials_change|Thixotropy,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_concept_0233,earth_environmental_systems,earth_family_07,Aeolian Granular Sorting,风沙流分选,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|earth_environmental_systems|Aeolian Granular Sorting,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_concept_0229,earth_environmental_systems,earth_family_07,Aeolian Ripple Formation,风成波纹形成,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|earth_environmental_systems|Aeolian Ripple Formation,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_concept_0228,earth_environmental_systems,earth_family_07,Aeolian Saltation,沙粒跃移,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|earth_environmental_systems|Aeolian Saltation,must_show_near_ground_grain_hopping_transport_not_generic_dust_or_wind
vdcr_concept_0217,earth_environmental_systems,earth_family_05,Crevasse Propagation,冰裂隙扩展,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|earth_environmental_systems|Crevasse Propagation,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_concept_0242,earth_environmental_systems,earth_family_09,Delta Lobe Avulsion,三角洲分流改道,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|earth_environmental_systems|Delta Lobe Avulsion,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_concept_0208,earth_environmental_systems,earth_family_03,Retrogressive Slump Failure,后退式滑塌,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|earth_environmental_systems|Retrogressive Slump Failure,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_concept_0206,earth_environmental_systems,earth_family_03,Rotational Slump Failure,旋转滑塌,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|earth_environmental_systems|Rotational Slump Failure,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_concept_0220,earth_environmental_systems,earth_family_05,Snow Slab Crown Crack Propagation,雪板冠状裂缝传播,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|earth_environmental_systems|Snow Slab Crown Crack Propagation,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_concept_0011,physics_physical_systems,physics_family_02,Capillary-Driven Droplet Coalescence,毛细驱动液滴并合,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|physics_physical_systems|Capillary-Driven Droplet Coalescence,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0018,physics_physical_systems,physics_family_03,Coherent Interference Pattern Formation,相干干涉图样形成,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|physics_physical_systems|Coherent Interference Pattern Formation,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0016,physics_physical_systems,physics_family_02,Contact-Line Pinning and Depinning,接触线钉扎-脱钉,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|physics_physical_systems|Contact-Line Pinning and Depinning,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0044,physics_physical_systems,physics_family_06,Detonation Front Propagation,爆轰波前传播,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|physics_physical_systems|Detonation Front Propagation,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0051,physics_physical_systems,physics_family_07,Dielectric Barrier Discharge Streamers,介质阻挡放电流光,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|physics_physical_systems|Dielectric Barrier Discharge Streamers,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0049,physics_physical_systems,physics_family_07,Glow Discharge Propagation,辉光放电扩展,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|physics_physical_systems|Glow Discharge Propagation,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0030,physics_physical_systems,physics_family_04,Granular Surface Avalanche,颗粒表面雪崩,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|physics_physical_systems|Granular Surface Avalanche,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0036,physics_physical_systems,physics_family_05,Inertia-Driven Droplet Impact Spreading,惯性驱动液滴撞击铺展,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|physics_physical_systems|Inertia-Driven Droplet Impact Spreading,must_show_impact_then_radial_spreading_sequence
vdcr_concept_0037,physics_physical_systems,physics_family_05,Ligament-Mediated Atomization,液丝破碎雾化,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|physics_physical_systems|Ligament-Mediated Atomization,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0041,physics_physical_systems,physics_family_06,Mach Cone Formation,马赫锥形成,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|physics_physical_systems|Mach Cone Formation,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0054,physics_physical_systems,physics_family_08,Natural Convection Plume,自然对流羽流,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|physics_physical_systems|Natural Convection Plume,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0040,physics_physical_systems,physics_family_06,Shock Wave Propagation,激波传播,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|physics_physical_systems|Shock Wave Propagation,must_show_clear_shock_front_or_compression_front_propagating_not_static_schlieren_frame
vdcr_concept_0045,physics_physical_systems,physics_family_06,Shock-Driven Rayleigh-Taylor Mixing,瑞利-泰勒冲击混合,strict_main_candidate,B,medium,0,0,0,3,3,new_concept,0|0|1|1|physics_physical_systems|Shock-Driven Rayleigh-Taylor Mixing,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0152,biology_living_systems,biology_family_05,Amoeboid Chemotactic Crawling,变形虫式趋化爬行,strict_main_candidate,B,medium,0,1,0,3,2,new_concept,0|1|1|1|biology_living_systems|Amoeboid Chemotactic Crawling,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0161,biology_living_systems,biology_family_05,Mitochondrial Fission-Fusion Dynamics,线粒体分裂-融合动态,strict_main_candidate,B,medium,0,1,0,3,2,new_concept,0|1|1|1|biology_living_systems|Mitochondrial Fission-Fusion Dynamics,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0095,chemistry_materials_change,materials_family_07,Oscillating Flame,振荡火焰,strict_main_candidate,B,medium,0,1,1,3,2,new_concept,0|1|1|1|chemistry_materials_change|Oscillating Flame,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_concept_0214,earth_environmental_systems,earth_family_04,Eruption Column Collapse,喷发柱坍塌,strict_main_candidate,B,medium,0,1,0,3,2,new_concept,0|1|1|1|earth_environmental_systems|Eruption Column Collapse,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_concept_0195,earth_environmental_systems,earth_family_01,Landspout Development,陆龙卷发展,strict_main_candidate,B,medium,0,1,0,3,2,new_concept,0|1|1|1|earth_environmental_systems|Landspout Development,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_concept_0213,earth_environmental_systems,earth_family_04,Lava Dome Collapse,熔岩穹丘崩塌,strict_main_candidate,B,medium,0,1,0,3,2,new_concept,0|1|1|1|earth_environmental_systems|Lava Dome Collapse,must_show_dome_instability_collapse_and_pyroclastic_or_plume_response_sequence
vdcr_concept_0244,earth_environmental_systems,earth_family_09,Rill Network Expansion,冲沟网络扩展,strict_main_candidate,B,medium,0,1,0,3,2,new_concept,0|1|1|1|earth_environmental_systems|Rill Network Expansion,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_concept_0202,earth_environmental_systems,earth_family_02,Rip Current Channel Formation,裂流出海通道形成,strict_main_candidate,B,medium,0,1,0,3,2,new_concept,0|1|1|1|earth_environmental_systems|Rip Current Channel Formation,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_concept_0207,earth_environmental_systems,earth_family_03,Seismic Soil Liquefaction,土壤液化,strict_main_candidate,B,medium,0,1,0,3,2,new_concept,0|1|1|1|earth_environmental_systems|Seismic Soil Liquefaction,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_concept_0027,physics_physical_systems,physics_family_04,Elastic Pendulum Motion,弹性摆运动,strict_main_candidate,B,medium,0,1,1,3,2,new_concept,0|1|1|1|physics_physical_systems|Elastic Pendulum Motion,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0050,physics_physical_systems,physics_family_07,Electric Arc Formation and Bending,电弧形成与弯曲,strict_main_candidate,B,medium,0,1,0,3,2,new_concept,0|1|1|1|physics_physical_systems|Electric Arc Formation and Bending,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0029,physics_physical_systems,physics_family_04,Granular Convection,颗粒对流,strict_main_candidate,B,medium,0,1,1,3,2,new_concept,0|1|1|1|physics_physical_systems|Granular Convection,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0020,physics_physical_systems,physics_family_03,Parametric Resonance,参数共振,strict_main_candidate,B,medium,0,1,1,3,2,new_concept,0|1|1|1|physics_physical_systems|Parametric Resonance,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0113,biology_living_systems,biology_family_01,Mud-Ring Feeding,泥环捕食,core_main,A,high,0,2,2,3,1,new_concept,0|2|0|0|biology_living_systems|Mud-Ring Feeding,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0189,biology_living_systems,biology_family_10,Slime Mold Aggregation,黏菌聚集,strict_main_candidate,B,medium,0,2,1,3,1,new_concept,0|2|1|1|biology_living_systems|Slime Mold Aggregation,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0081,chemistry_materials_change,materials_family_05,Coffee-Ring Formation,咖啡环形成,strict_main_candidate,B,medium,0,2,1,3,1,new_concept,0|2|1|1|chemistry_materials_change|Coffee-Ring Formation,must_show_evaporation_period_and_particle_deposition_front_forming_not_only_final_ring
vdcr_concept_0102,chemistry_materials_change,materials_family_09,Gelation Front Propagation,凝胶化前沿推进,strict_main_candidate,B,medium,0,2,0,3,1,new_concept,0|2|1|1|chemistry_materials_change|Gelation Front Propagation,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_concept_0062,chemistry_materials_change,materials_family_01,Viscoelastic Recoil,黏弹回弹,strict_main_candidate,B,medium,0,2,0,3,1,new_concept,0|2|1|1|chemistry_materials_change|Viscoelastic Recoil,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_concept_0224,earth_environmental_systems,earth_family_06,Spot Fire Propagation,飞火传播,strict_main_candidate,B,medium,0,2,1,3,1,new_concept,0|2|1|1|earth_environmental_systems|Spot Fire Propagation,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_concept_0236,earth_environmental_systems,earth_family_08,Storm Surge Propagation,风暴潮推进,strict_main_candidate,B,medium,0,2,1,3,1,new_concept,0|2|1|1|earth_environmental_systems|Storm Surge Propagation,must_show_water_level_or_inundation_front_progression_not_only_path_map_or_warning_overlay
vdcr_concept_0158,biology_living_systems,biology_family_05,Coordinated Ciliary Beating Dynamics,协同纤毛摆动动态,strict_main_candidate,A,medium,1,0,0,3,3,repeat_concept,1|0|0|1|biology_living_systems|Coordinated Ciliary Beating Dynamics,must_show_coordinated_repeated_ciliary_motion_or_metachronal_pattern_not_static_cell_structure
vdcr_concept_0240,earth_environmental_systems,earth_family_09,Gully Headcut Retreat,沟蚀扩展,core_main,A,medium,1,0,0,3,3,repeat_concept,1|0|0|1|earth_environmental_systems|Gully Headcut Retreat,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_concept_0174,biology_living_systems,biology_family_08,Early Embryonic Cleavage Sequence,早期胚胎卵裂序列,strict_main_candidate,B,medium,1,0,0,3,3,repeat_concept,1|0|1|1|biology_living_systems|Early Embryonic Cleavage Sequence,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0109,biology_living_systems,biology_family_01,Medusan Jet Propulsion by Bell Contraction,水母伞体收缩喷射推进,strict_main_candidate,B,medium,1,0,0,3,3,repeat_concept,1|0|1|1|biology_living_systems|Medusan Jet Propulsion by Bell Contraction,must_show_bell_contraction_water_expelled_or_implied_reaction_and_forward_motion_sequence
vdcr_concept_0065,chemistry_materials_change,materials_family_02,Crystal Nucleation-and-Growth Dynamics,晶体成核-生长动态,strict_main_candidate,B,medium,1,0,0,3,3,repeat_concept,1|0|1|1|chemistry_materials_change|Crystal Nucleation-and-Growth Dynamics,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_concept_0104,chemistry_materials_change,materials_family_09,Osmotic Gel Swelling Dynamics,渗透压驱动凝胶溶胀动态,strict_main_candidate,B,medium,1,0,0,3,3,repeat_concept,1|0|1|1|chemistry_materials_change|Osmotic Gel Swelling Dynamics,must_show_osmotic_or_solvent_driven_volume_increase_over_time
vdcr_concept_0077,chemistry_materials_change,materials_family_04,Reaction-Precipitation Front Propagation,反应-沉淀前沿推进,strict_main_candidate,B,medium,1,0,0,3,3,repeat_concept,1|0|1|1|chemistry_materials_change|Reaction-Precipitation Front Propagation,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_concept_0089,chemistry_materials_change,materials_family_07,Reactive Flame-Front Propagation,反应性火焰前沿传播,strict_main_candidate,B,medium,1,0,0,3,3,repeat_concept,1|0|1|1|chemistry_materials_change|Reactive Flame-Front Propagation,must_show_reactive_flame_front_advancing_through_fuel_or_mixture_not_generic_fire_motion
vdcr_concept_0225,earth_environmental_systems,earth_family_06,Buoyancy-Driven Smoke Plume Rise,浮力驱动烟羽上升,strict_main_candidate,B,medium,1,0,0,3,3,repeat_concept,1|0|1|1|earth_environmental_systems|Buoyancy-Driven Smoke Plume Rise,must_show_buoyancy_driven_plume_generation_rise_and_expansion_not_just_smoke
vdcr_concept_0222,earth_environmental_systems,earth_family_06,Fire-Whirl Vortex Formation,火旋风涡旋形成,strict_main_candidate,B,medium,1,0,0,3,3,repeat_concept,1|0|1|1|earth_environmental_systems|Fire-Whirl Vortex Formation,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_concept_0012,physics_physical_systems,physics_family_02,Capillary-Driven Jet/Thread Breakup,毛细驱动射流/液丝断裂,strict_main_candidate,B,medium,1,0,0,3,3,repeat_concept,1|0|1|1|physics_physical_systems|Capillary-Driven Jet/Thread Breakup,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0034,physics_physical_systems,physics_family_05,Inertia-Capillarity Droplet Rebound,惯性-毛细液滴反弹,strict_main_candidate,B,medium,1,0,0,3,3,repeat_concept,1|0|1|1|physics_physical_systems|Inertia-Capillarity Droplet Rebound,must_show_impact_deformation_capillary_retraction_and_liftoff_sequence
vdcr_concept_0078,chemistry_materials_change,materials_family_04,Liesegang Ring Formation,利塞冈环形成,core_main,A,high,1,1,0,3,2,repeat_concept,1|1|0|0|chemistry_materials_change|Liesegang Ring Formation,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_concept_0069,chemistry_materials_change,materials_family_02,Supercooled Liquid Rapid Crystallization,过冷液体瞬时结晶,core_main,A,high,1,1,0,3,2,repeat_concept,1|1|0|0|chemistry_materials_change|Supercooled Liquid Rapid Crystallization,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_concept_0151,biology_living_systems,biology_family_04,Bistable Snap-Trap Closure,双稳态捕虫夹闭合,core_main,A,medium,1,1,0,3,2,repeat_concept,1|1|0|1|biology_living_systems|Bistable Snap-Trap Closure,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0153,biology_living_systems,biology_family_05,Cytoplasmic Streaming,细胞质流动,core_main,A,medium,1,1,0,3,2,repeat_concept,1|1|0|1|biology_living_systems|Cytoplasmic Streaming,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0111,biology_living_systems,biology_family_01,Metachronal Wave Locomotion,节律相位波推进,core_main,A,medium,1,1,0,3,2,repeat_concept,1|1|0|1|biology_living_systems|Metachronal Wave Locomotion,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0168,biology_living_systems,biology_family_07,Microtubule Dynamic Instability,微管动态不稳定性,core_main,A,medium,1,1,0,3,2,repeat_concept,1|1|0|1|biology_living_systems|Microtubule Dynamic Instability,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0148,biology_living_systems,biology_family_04,Nyctinasty,昼夜感性运动,core_main,A,medium,1,1,0,3,2,repeat_concept,1|1|0|1|biology_living_systems|Nyctinasty,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_concept_0066,chemistry_materials_change,materials_family_02,Dendritic Crystal Growth,树枝状晶体生长,core_main,A,medium,1,1,0,3,2,repeat_concept,1|1|0|1|chemistry_materials_change|Dendritic Crystal Growth,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_concept_0059,chemistry_materials_change,materials_family_01,Shear Thickening,剪切增稠,core_main,A,medium,1,1,0,3,2,repeat_concept,1|1|0|1|chemistry_materials_change|Shear Thickening,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_concept_0086,chemistry_materials_change,materials_family_06,Thin-Film Dewetting,液膜退润湿,core_main,A,medium,1,1,0,3,2,repeat_concept,1|1|0|1|chemistry_materials_change|Thin-Film Dewetting,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_concept_0064,chemistry_materials_change,materials_family_01,Weissenberg Rod-Climbing Effect,魏森贝格爬杆效应,core_main,A,medium,1,1,0,3,2,repeat_concept,1|1|0|1|chemistry_materials_change|Weissenberg Rod-Climbing Effect,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_concept_0219,earth_environmental_systems,earth_family_05,Slab Avalanche Release,板状雪崩释放,core_main,A,medium,1,1,0,3,2,repeat_concept,1|1|0|1|earth_environmental_systems|Slab Avalanche Release,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_concept_0192,earth_environmental_systems,earth_family_01,Tornadogenesis,龙卷生成,core_main,A,medium,1,1,0,3,2,repeat_concept,1|1|0|1|earth_environmental_systems|Tornadogenesis,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_concept_0028,physics_physical_systems,physics_family_04,Brazil Nut Effect,巴西坚果效应,core_main,A,medium,1,1,0,3,2,repeat_concept,1|1|0|1|physics_physical_systems|Brazil Nut Effect,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0004,physics_physical_systems,physics_family_01,Kelvin-Helmholtz Instability,开尔文-亥姆霍兹不稳定性,core_main,A,medium,1,1,0,3,2,repeat_concept,1|1|0|1|physics_physical_systems|Kelvin-Helmholtz Instability,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_concept_0014,physics_physical_systems,physics_family_02,Leidenfrost Droplet Motion,莱顿弗罗斯特液滴运动,strict_main_candidate,A,medium,1,1,0,3,2,repeat_concept,1|1|0|1|physics_physical_systems|Leidenfrost Droplet Motion,must_show_hot_surface_vapor_cushion_behavior_sustained_sliding_or_lifetime_change_without_text_leakage
