search_term,initial_category,candidate_knowledge_point,domain_seed,subdomain_seed,default_start_sec,default_end_sec,why_dynamic,notes,collector_notes,capability_label,dynamic_concept_id,dynamic_concept
motion mimicry behavior video,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,organism_behavior_and_taxis,0,60,The organism changes motion or posture to resemble another dynamic target.,capability_label=DCR; dynamic_concept_id=DCR_BIO_MIMIC_001; linked_principle_id=BIO_TAX_004; aliases=motion mimicry; behavioral mimicry; reject=Reject purely static camouflage.; hard_negative_concepts=camouflage stillness; courtship display; simple escape,capability_label=DCR; dynamic_concept_id=DCR_BIO_MIMIC_001; linked_principle_id=BIO_TAX_004; aliases=motion mimicry; behavioral mimicry; reject=Reject purely static camouflage.; hard_negative_concepts=camouflage stillness; courtship display; simple escape,DCR,DCR_BIO_MIMIC_001,dynamic mimicry
mimic octopus dynamic mimicry video,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,organism_behavior_and_taxis,0,60,The organism changes motion or posture to resemble another dynamic target.,capability_label=DCR; dynamic_concept_id=DCR_BIO_MIMIC_001; linked_principle_id=BIO_TAX_004; aliases=motion mimicry; behavioral mimicry; reject=Reject purely static camouflage.; hard_negative_concepts=camouflage stillness; courtship display; simple escape,capability_label=DCR; dynamic_concept_id=DCR_BIO_MIMIC_001; linked_principle_id=BIO_TAX_004; aliases=motion mimicry; behavioral mimicry; reject=Reject purely static camouflage.; hard_negative_concepts=camouflage stillness; courtship display; simple escape,DCR,DCR_BIO_MIMIC_001,dynamic mimicry
root gravitropism time lapse,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,plant_growth_and_tropisms,0,60,Roots or shoots curve after the plant is rotated.,capability_label=DCR; dynamic_concept_id=DCR_BIO_GRAVI_001; linked_principle_id=BIO_TRO_002; aliases=geotropism; root gravitropism; shoot gravitropism; reject=Reject clips without a rotation/reorientation event.; hard_negative_concepts=phototropism; hydrotropism; simple elongation,capability_label=DCR; dynamic_concept_id=DCR_BIO_GRAVI_001; linked_principle_id=BIO_TRO_002; aliases=geotropism; root gravitropism; shoot gravitropism; reject=Reject clips without a rotation/reorientation event.; hard_negative_concepts=phototropism; hydrotropism; simple elongation,DCR,DCR_BIO_GRAVI_001,gravitropism
plant gravitropism reorientation video,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,plant_growth_and_tropisms,0,60,Roots or shoots curve after the plant is rotated.,capability_label=DCR; dynamic_concept_id=DCR_BIO_GRAVI_001; linked_principle_id=BIO_TRO_002; aliases=geotropism; root gravitropism; shoot gravitropism; reject=Reject clips without a rotation/reorientation event.; hard_negative_concepts=phototropism; hydrotropism; simple elongation,capability_label=DCR; dynamic_concept_id=DCR_BIO_GRAVI_001; linked_principle_id=BIO_TRO_002; aliases=geotropism; root gravitropism; shoot gravitropism; reject=Reject clips without a rotation/reorientation event.; hard_negative_concepts=phototropism; hydrotropism; simple elongation,DCR,DCR_BIO_GRAVI_001,gravitropism
geotropism time lapse,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,plant_growth_and_tropisms,0,60,Roots or shoots curve after the plant is rotated.,capability_label=DCR; dynamic_concept_id=DCR_BIO_GRAVI_001; linked_principle_id=BIO_TRO_002; aliases=geotropism; root gravitropism; shoot gravitropism; reject=Reject clips without a rotation/reorientation event.; hard_negative_concepts=phototropism; hydrotropism; simple elongation,capability_label=DCR; dynamic_concept_id=DCR_BIO_GRAVI_001; linked_principle_id=BIO_TRO_002; aliases=geotropism; root gravitropism; shoot gravitropism; reject=Reject clips without a rotation/reorientation event.; hard_negative_concepts=phototropism; hydrotropism; simple elongation,DCR,DCR_BIO_GRAVI_001,gravitropism
phototropism time lapse plant bending light,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,plant_growth_and_tropisms,0,60,A shoot bends progressively toward a light source over time.,capability_label=DCR; dynamic_concept_id=DCR_BIO_PHOTO_001; linked_principle_id=BIO_TRO_001; aliases=shoot phototropism; plant bends toward light; reject=Reject clips without visible directional light or bending progression.; hard_negative_concepts=gravitropism; nastic folding; ordinary growth,capability_label=DCR; dynamic_concept_id=DCR_BIO_PHOTO_001; linked_principle_id=BIO_TRO_001; aliases=shoot phototropism; plant bends toward light; reject=Reject clips without visible directional light or bending progression.; hard_negative_concepts=gravitropism; nastic folding; ordinary growth,DCR,DCR_BIO_PHOTO_001,phototropism
seedling phototropism video,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,plant_growth_and_tropisms,0,60,A shoot bends progressively toward a light source over time.,capability_label=DCR; dynamic_concept_id=DCR_BIO_PHOTO_001; linked_principle_id=BIO_TRO_001; aliases=shoot phototropism; plant bends toward light; reject=Reject clips without visible directional light or bending progression.; hard_negative_concepts=gravitropism; nastic folding; ordinary growth,capability_label=DCR; dynamic_concept_id=DCR_BIO_PHOTO_001; linked_principle_id=BIO_TRO_001; aliases=shoot phototropism; plant bends toward light; reject=Reject clips without visible directional light or bending progression.; hard_negative_concepts=gravitropism; nastic folding; ordinary growth,DCR,DCR_BIO_PHOTO_001,phototropism
plant grows toward light time lapse,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,plant_growth_and_tropisms,0,60,A shoot bends progressively toward a light source over time.,capability_label=DCR; dynamic_concept_id=DCR_BIO_PHOTO_001; linked_principle_id=BIO_TRO_001; aliases=shoot phototropism; plant bends toward light; reject=Reject clips without visible directional light or bending progression.; hard_negative_concepts=gravitropism; nastic folding; ordinary growth,capability_label=DCR; dynamic_concept_id=DCR_BIO_PHOTO_001; linked_principle_id=BIO_TRO_001; aliases=shoot phototropism; plant bends toward light; reject=Reject clips without visible directional light or bending progression.; hard_negative_concepts=gravitropism; nastic folding; ordinary growth,DCR,DCR_BIO_PHOTO_001,phototropism
plasmolysis deplasmolysis time lapse microscopy,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,plant_water_relations_and_turgor,0,60,The protoplast shrinks away from the cell wall and may recover in water.,capability_label=DCR; dynamic_concept_id=DCR_BIO_PLASM_001; linked_principle_id=BIO_TRA_001; aliases=plasmolysis; deplasmolysis; plant cell osmotic shrinkage; reject=Reject single final plasmolyzed images or label-only clips.; hard_negative_concepts=cytoplasmic streaming; cell division; diffusion dye,capability_label=DCR; dynamic_concept_id=DCR_BIO_PLASM_001; linked_principle_id=BIO_TRA_001; aliases=plasmolysis; deplasmolysis; plant cell osmotic shrinkage; reject=Reject single final plasmolyzed images or label-only clips.; hard_negative_concepts=cytoplasmic streaming; cell division; diffusion dye,DCR,DCR_BIO_PLASM_001,plasmolysis and deplasmolysis
plant cell plasmolysis video,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,plant_water_relations_and_turgor,0,60,The protoplast shrinks away from the cell wall and may recover in water.,capability_label=DCR; dynamic_concept_id=DCR_BIO_PLASM_001; linked_principle_id=BIO_TRA_001; aliases=plasmolysis; deplasmolysis; plant cell osmotic shrinkage; reject=Reject single final plasmolyzed images or label-only clips.; hard_negative_concepts=cytoplasmic streaming; cell division; diffusion dye,capability_label=DCR; dynamic_concept_id=DCR_BIO_PLASM_001; linked_principle_id=BIO_TRA_001; aliases=plasmolysis; deplasmolysis; plant cell osmotic shrinkage; reject=Reject single final plasmolyzed images or label-only clips.; hard_negative_concepts=cytoplasmic streaming; cell division; diffusion dye,DCR,DCR_BIO_PLASM_001,plasmolysis and deplasmolysis
onion cell plasmolysis time lapse,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,plant_water_relations_and_turgor,0,60,The protoplast shrinks away from the cell wall and may recover in water.,capability_label=DCR; dynamic_concept_id=DCR_BIO_PLASM_001; linked_principle_id=BIO_TRA_001; aliases=plasmolysis; deplasmolysis; plant cell osmotic shrinkage; reject=Reject single final plasmolyzed images or label-only clips.; hard_negative_concepts=cytoplasmic streaming; cell division; diffusion dye,capability_label=DCR; dynamic_concept_id=DCR_BIO_PLASM_001; linked_principle_id=BIO_TRA_001; aliases=plasmolysis; deplasmolysis; plant cell osmotic shrinkage; reject=Reject single final plasmolyzed images or label-only clips.; hard_negative_concepts=cytoplasmic streaming; cell division; diffusion dye,DCR,DCR_BIO_PLASM_001,plasmolysis and deplasmolysis
cytoplasmic streaming chloroplast video,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,plant_water_relations_and_turgor,0,60,Chloroplasts or organelles circulate along cell edges or tracks.,capability_label=DCR; dynamic_concept_id=DCR_BIO_STREAM_001; linked_principle_id=BIO_TRA_003; aliases=cyclosis; chloroplast streaming; reject=Reject clips where organelle motion is not visible.; hard_negative_concepts=Brownian motion; cell division; camera drift,capability_label=DCR; dynamic_concept_id=DCR_BIO_STREAM_001; linked_principle_id=BIO_TRA_003; aliases=cyclosis; chloroplast streaming; reject=Reject clips where organelle motion is not visible.; hard_negative_concepts=Brownian motion; cell division; camera drift,DCR,DCR_BIO_STREAM_001,cytoplasmic streaming
cyclosis elodea microscopy video,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,plant_water_relations_and_turgor,0,60,Chloroplasts or organelles circulate along cell edges or tracks.,capability_label=DCR; dynamic_concept_id=DCR_BIO_STREAM_001; linked_principle_id=BIO_TRA_003; aliases=cyclosis; chloroplast streaming; reject=Reject clips where organelle motion is not visible.; hard_negative_concepts=Brownian motion; cell division; camera drift,capability_label=DCR; dynamic_concept_id=DCR_BIO_STREAM_001; linked_principle_id=BIO_TRA_003; aliases=cyclosis; chloroplast streaming; reject=Reject clips where organelle motion is not visible.; hard_negative_concepts=Brownian motion; cell division; camera drift,DCR,DCR_BIO_STREAM_001,cytoplasmic streaming
chloroplast streaming time lapse,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,plant_water_relations_and_turgor,0,60,Chloroplasts or organelles circulate along cell edges or tracks.,capability_label=DCR; dynamic_concept_id=DCR_BIO_STREAM_001; linked_principle_id=BIO_TRA_003; aliases=cyclosis; chloroplast streaming; reject=Reject clips where organelle motion is not visible.; hard_negative_concepts=Brownian motion; cell division; camera drift,capability_label=DCR; dynamic_concept_id=DCR_BIO_STREAM_001; linked_principle_id=BIO_TRA_003; aliases=cyclosis; chloroplast streaming; reject=Reject clips where organelle motion is not visible.; hard_negative_concepts=Brownian motion; cell division; camera drift,DCR,DCR_BIO_STREAM_001,cytoplasmic streaming
Taylor Couette mixing dye video,chemistry_materials_change,__construct_after_dcr_video_gate__,chemistry_materials_change,diffusion_mixing_and_transport,0,60,Colored bands elongate into layers and may reverse when shear is reversed.,capability_label=DCR; dynamic_concept_id=DCR_CHEM_DIFF_001; linked_principle_id=CHM_DIF_002; aliases=reversible laminar mixing; viscous folding; reject=Reject simple shaking or turbulent mixing clips.; hard_negative_concepts=turbulent mixing; diffusion only; precipitation,capability_label=DCR; dynamic_concept_id=DCR_CHEM_DIFF_001; linked_principle_id=CHM_DIF_002; aliases=reversible laminar mixing; viscous folding; reject=Reject simple shaking or turbulent mixing clips.; hard_negative_concepts=turbulent mixing; diffusion only; precipitation,DCR,DCR_CHEM_DIFF_001,Taylor-Couette laminar mixing
reversible laminar mixing video,chemistry_materials_change,__construct_after_dcr_video_gate__,chemistry_materials_change,diffusion_mixing_and_transport,0,60,Colored bands elongate into layers and may reverse when shear is reversed.,capability_label=DCR; dynamic_concept_id=DCR_CHEM_DIFF_001; linked_principle_id=CHM_DIF_002; aliases=reversible laminar mixing; viscous folding; reject=Reject simple shaking or turbulent mixing clips.; hard_negative_concepts=turbulent mixing; diffusion only; precipitation,capability_label=DCR; dynamic_concept_id=DCR_CHEM_DIFF_001; linked_principle_id=CHM_DIF_002; aliases=reversible laminar mixing; viscous folding; reject=Reject simple shaking or turbulent mixing clips.; hard_negative_concepts=turbulent mixing; diffusion only; precipitation,DCR,DCR_CHEM_DIFF_001,Taylor-Couette laminar mixing
viscous laminar mixing folding video,chemistry_materials_change,__construct_after_dcr_video_gate__,chemistry_materials_change,diffusion_mixing_and_transport,0,60,Colored bands elongate into layers and may reverse when shear is reversed.,capability_label=DCR; dynamic_concept_id=DCR_CHEM_DIFF_001; linked_principle_id=CHM_DIF_002; aliases=reversible laminar mixing; viscous folding; reject=Reject simple shaking or turbulent mixing clips.; hard_negative_concepts=turbulent mixing; diffusion only; precipitation,capability_label=DCR; dynamic_concept_id=DCR_CHEM_DIFF_001; linked_principle_id=CHM_DIF_002; aliases=reversible laminar mixing; viscous folding; reject=Reject simple shaking or turbulent mixing clips.; hard_negative_concepts=turbulent mixing; diffusion only; precipitation,DCR,DCR_CHEM_DIFF_001,Taylor-Couette laminar mixing
shear thickening oobleck slow motion,chemistry_materials_change,__construct_after_dcr_video_gate__,chemistry_materials_change,material_deformation_and_response,0,60,The same material flows slowly but resists or fractures under rapid impact.,capability_label=DCR; dynamic_concept_id=DCR_CHEM_THICK_001; linked_principle_id=CHM_MAT_001; aliases=non-Newtonian fluid impact; oobleck solid-like impact; reject=Reject clips showing only slow pouring or only a static impact aftermath.; hard_negative_concepts=high viscosity liquid; gel; plastic clay,capability_label=DCR; dynamic_concept_id=DCR_CHEM_THICK_001; linked_principle_id=CHM_MAT_001; aliases=non-Newtonian fluid impact; oobleck solid-like impact; reject=Reject clips showing only slow pouring or only a static impact aftermath.; hard_negative_concepts=high viscosity liquid; gel; plastic clay,DCR,DCR_CHEM_THICK_001,shear thickening
non Newtonian fluid impact video,chemistry_materials_change,__construct_after_dcr_video_gate__,chemistry_materials_change,material_deformation_and_response,0,60,The same material flows slowly but resists or fractures under rapid impact.,capability_label=DCR; dynamic_concept_id=DCR_CHEM_THICK_001; linked_principle_id=CHM_MAT_001; aliases=non-Newtonian fluid impact; oobleck solid-like impact; reject=Reject clips showing only slow pouring or only a static impact aftermath.; hard_negative_concepts=high viscosity liquid; gel; plastic clay,capability_label=DCR; dynamic_concept_id=DCR_CHEM_THICK_001; linked_principle_id=CHM_MAT_001; aliases=non-Newtonian fluid impact; oobleck solid-like impact; reject=Reject clips showing only slow pouring or only a static impact aftermath.; hard_negative_concepts=high viscosity liquid; gel; plastic clay,DCR,DCR_CHEM_THICK_001,shear thickening
cornstarch water impact slow motion,chemistry_materials_change,__construct_after_dcr_video_gate__,chemistry_materials_change,material_deformation_and_response,0,60,The same material flows slowly but resists or fractures under rapid impact.,capability_label=DCR; dynamic_concept_id=DCR_CHEM_THICK_001; linked_principle_id=CHM_MAT_001; aliases=non-Newtonian fluid impact; oobleck solid-like impact; reject=Reject clips showing only slow pouring or only a static impact aftermath.; hard_negative_concepts=high viscosity liquid; gel; plastic clay,capability_label=DCR; dynamic_concept_id=DCR_CHEM_THICK_001; linked_principle_id=CHM_MAT_001; aliases=non-Newtonian fluid impact; oobleck solid-like impact; reject=Reject clips showing only slow pouring or only a static impact aftermath.; hard_negative_concepts=high viscosity liquid; gel; plastic clay,DCR,DCR_CHEM_THICK_001,shear thickening
dendritic crystal growth time lapse,chemistry_materials_change,__construct_after_dcr_video_gate__,chemistry_materials_change,phase_change_and_crystallization,0,60,Branching crystals extend from nucleation sites over time.,capability_label=DCR; dynamic_concept_id=DCR_CHEM_DEND_001; linked_principle_id=CHM_PHA_002; aliases=dendrite growth; branching crystal growth; metal dendrites; reject=Reject final crystals without visible growth sequence.; hard_negative_concepts=precipitate cloud; final crystal; random sediment,capability_label=DCR; dynamic_concept_id=DCR_CHEM_DEND_001; linked_principle_id=CHM_PHA_002; aliases=dendrite growth; branching crystal growth; metal dendrites; reject=Reject final crystals without visible growth sequence.; hard_negative_concepts=precipitate cloud; final crystal; random sediment,DCR,DCR_CHEM_DEND_001,dendritic crystal growth
metal dendrite growth video,chemistry_materials_change,__construct_after_dcr_video_gate__,chemistry_materials_change,phase_change_and_crystallization,0,60,Branching crystals extend from nucleation sites over time.,capability_label=DCR; dynamic_concept_id=DCR_CHEM_DEND_001; linked_principle_id=CHM_PHA_002; aliases=dendrite growth; branching crystal growth; metal dendrites; reject=Reject final crystals without visible growth sequence.; hard_negative_concepts=precipitate cloud; final crystal; random sediment,capability_label=DCR; dynamic_concept_id=DCR_CHEM_DEND_001; linked_principle_id=CHM_PHA_002; aliases=dendrite growth; branching crystal growth; metal dendrites; reject=Reject final crystals without visible growth sequence.; hard_negative_concepts=precipitate cloud; final crystal; random sediment,DCR,DCR_CHEM_DEND_001,dendritic crystal growth
ice dendrite growth microscopy,chemistry_materials_change,__construct_after_dcr_video_gate__,chemistry_materials_change,phase_change_and_crystallization,0,60,Branching crystals extend from nucleation sites over time.,capability_label=DCR; dynamic_concept_id=DCR_CHEM_DEND_001; linked_principle_id=CHM_PHA_002; aliases=dendrite growth; branching crystal growth; metal dendrites; reject=Reject final crystals without visible growth sequence.; hard_negative_concepts=precipitate cloud; final crystal; random sediment,capability_label=DCR; dynamic_concept_id=DCR_CHEM_DEND_001; linked_principle_id=CHM_PHA_002; aliases=dendrite growth; branching crystal growth; metal dendrites; reject=Reject final crystals without visible growth sequence.; hard_negative_concepts=precipitate cloud; final crystal; random sediment,DCR,DCR_CHEM_DEND_001,dendritic crystal growth
chemical garden growth time lapse,chemistry_materials_change,__construct_after_dcr_video_gate__,chemistry_materials_change,precipitation_and_solubility,0,60,Colored tubular or branching structures grow upward/outward in solution.,capability_label=DCR; dynamic_concept_id=DCR_CHEM_GARDEN_001; linked_principle_id=CHM_PRE_002; aliases=silicate garden; precipitation tubes; crystal garden; reject=Reject static finished gardens without growth sequence.; hard_negative_concepts=ordinary crystallization; dye diffusion; bubbles,capability_label=DCR; dynamic_concept_id=DCR_CHEM_GARDEN_001; linked_principle_id=CHM_PRE_002; aliases=silicate garden; precipitation tubes; crystal garden; reject=Reject static finished gardens without growth sequence.; hard_negative_concepts=ordinary crystallization; dye diffusion; bubbles,DCR,DCR_CHEM_GARDEN_001,chemical garden
silicate garden precipitation tubes video,chemistry_materials_change,__construct_after_dcr_video_gate__,chemistry_materials_change,precipitation_and_solubility,0,60,Colored tubular or branching structures grow upward/outward in solution.,capability_label=DCR; dynamic_concept_id=DCR_CHEM_GARDEN_001; linked_principle_id=CHM_PRE_002; aliases=silicate garden; precipitation tubes; crystal garden; reject=Reject static finished gardens without growth sequence.; hard_negative_concepts=ordinary crystallization; dye diffusion; bubbles,capability_label=DCR; dynamic_concept_id=DCR_CHEM_GARDEN_001; linked_principle_id=CHM_PRE_002; aliases=silicate garden; precipitation tubes; crystal garden; reject=Reject static finished gardens without growth sequence.; hard_negative_concepts=ordinary crystallization; dye diffusion; bubbles,DCR,DCR_CHEM_GARDEN_001,chemical garden
crystal garden growth video,chemistry_materials_change,__construct_after_dcr_video_gate__,chemistry_materials_change,precipitation_and_solubility,0,60,Colored tubular or branching structures grow upward/outward in solution.,capability_label=DCR; dynamic_concept_id=DCR_CHEM_GARDEN_001; linked_principle_id=CHM_PRE_002; aliases=silicate garden; precipitation tubes; crystal garden; reject=Reject static finished gardens without growth sequence.; hard_negative_concepts=ordinary crystallization; dye diffusion; bubbles,capability_label=DCR; dynamic_concept_id=DCR_CHEM_GARDEN_001; linked_principle_id=CHM_PRE_002; aliases=silicate garden; precipitation tubes; crystal garden; reject=Reject static finished gardens without growth sequence.; hard_negative_concepts=ordinary crystallization; dye diffusion; bubbles,DCR,DCR_CHEM_GARDEN_001,chemical garden
Benedict test reducing sugar color change video,chemistry_materials_change,__construct_after_dcr_video_gate__,chemistry_materials_change,redox_and_endpoint_reactions,0,60,Blue solution changes toward orange-red with precipitate formation while heated.,capability_label=DCR; dynamic_concept_id=DCR_CHEM_BENEDICT_001; linked_principle_id=CHM_RED_002; aliases=Benedict reagent; reducing sugar test; reject=Reject final tube comparisons without the heating transition.; hard_negative_concepts=iodine test; pH indicator; simple boiling,capability_label=DCR; dynamic_concept_id=DCR_CHEM_BENEDICT_001; linked_principle_id=CHM_RED_002; aliases=Benedict reagent; reducing sugar test; reject=Reject final tube comparisons without the heating transition.; hard_negative_concepts=iodine test; pH indicator; simple boiling,DCR,DCR_CHEM_BENEDICT_001,Benedict test positive reaction
