search_term,initial_category,candidate_knowledge_point,domain_seed,subdomain_seed,default_start_sec,default_end_sec,why_dynamic,notes,collector_notes
Newton cradle momentum transfer video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,collisions_and_momentum,0,60,Pre- and post-impact velocities/directions of colliding bodies visibly change.,principle_id=PHY_COL_001; priority=core; reject=Reject impacts without clear before/after motion or pure text diagrams.; hard_negative_family=friction slowing; gravitational fall; fluid drag,principle_id=PHY_COL_001; priority=core; reject=Reject impacts without clear before/after motion or pure text diagrams.; hard_negative_family=friction slowing; gravitational fall; fluid drag
inelastic collision deformation slow motion,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,collisions_and_momentum,0,60,"Objects deform, stick, fragment, or rebound with lower speed after impact.",principle_id=PHY_COL_002; priority=core; reject=Reject elastic rebounds with no visible energy loss.; hard_negative_family=elastic collision; fracture only; free fall,principle_id=PHY_COL_002; priority=core; reject=Reject elastic rebounds with no visible energy loss.; hard_negative_family=elastic collision; fracture only; free fall
clay collision sticking video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,collisions_and_momentum,0,60,"Objects deform, stick, fragment, or rebound with lower speed after impact.",principle_id=PHY_COL_002; priority=core; reject=Reject elastic rebounds with no visible energy loss.; hard_negative_family=elastic collision; fracture only; free fall,principle_id=PHY_COL_002; priority=core; reject=Reject elastic rebounds with no visible energy loss.; hard_negative_family=elastic collision; fracture only; free fall
crash kinetic energy deformation video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,collisions_and_momentum,0,60,"Objects deform, stick, fragment, or rebound with lower speed after impact.",principle_id=PHY_COL_002; priority=core; reject=Reject elastic rebounds with no visible energy loss.; hard_negative_family=elastic collision; fracture only; free fall,principle_id=PHY_COL_002; priority=core; reject=Reject elastic rebounds with no visible energy loss.; hard_negative_family=elastic collision; fracture only; free fall
pendulum energy transfer slow motion,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,oscillation_rotation_and_vibration,0,60,Speed is highest near the bottom and lowest near the turning points over repeated cycles.,principle_id=PHY_OSC_001; priority=core; reject=Reject static pendulum images or clips without at least one full swing.; hard_negative_family=linear fall; rotating disk; fluid wave,principle_id=PHY_OSC_001; priority=core; reject=Reject static pendulum images or clips without at least one full swing.; hard_negative_family=linear fall; rotating disk; fluid wave
pendulum kinetic potential energy video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,oscillation_rotation_and_vibration,0,60,Speed is highest near the bottom and lowest near the turning points over repeated cycles.,principle_id=PHY_OSC_001; priority=core; reject=Reject static pendulum images or clips without at least one full swing.; hard_negative_family=linear fall; rotating disk; fluid wave,principle_id=PHY_OSC_001; priority=core; reject=Reject static pendulum images or clips without at least one full swing.; hard_negative_family=linear fall; rotating disk; fluid wave
damped oscillation amplitude decay video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,oscillation_rotation_and_vibration,0,60,Oscillation amplitude shrinks across cycles.,principle_id=PHY_OSC_002; priority=core; reject=Reject clips where amplitude is externally held constant.; hard_negative_family=resonance growth; chaotic pendulum; constant forced oscillation,principle_id=PHY_OSC_002; priority=core; reject=Reject clips where amplitude is externally held constant.; hard_negative_family=resonance growth; chaotic pendulum; constant forced oscillation
damped pendulum time lapse,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,oscillation_rotation_and_vibration,0,60,Oscillation amplitude shrinks across cycles.,principle_id=PHY_OSC_002; priority=core; reject=Reject clips where amplitude is externally held constant.; hard_negative_family=resonance growth; chaotic pendulum; constant forced oscillation,principle_id=PHY_OSC_002; priority=core; reject=Reject clips where amplitude is externally held constant.; hard_negative_family=resonance growth; chaotic pendulum; constant forced oscillation
spring mass damping experiment,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,oscillation_rotation_and_vibration,0,60,Oscillation amplitude shrinks across cycles.,principle_id=PHY_OSC_002; priority=core; reject=Reject clips where amplitude is externally held constant.; hard_negative_family=resonance growth; chaotic pendulum; constant forced oscillation,principle_id=PHY_OSC_002; priority=core; reject=Reject clips where amplitude is externally held constant.; hard_negative_family=resonance growth; chaotic pendulum; constant forced oscillation
resonance amplitude growth experiment video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,oscillation_rotation_and_vibration,0,60,Amplitude grows under a repeated external drive near the resonant frequency.,principle_id=PHY_OSC_003; priority=core; reject=Reject videos that only show large vibration without a drive-frequency relation.; hard_negative_family=damping decay; collision rebound; random vibration,principle_id=PHY_OSC_003; priority=core; reject=Reject videos that only show large vibration without a drive-frequency relation.; hard_negative_family=damping decay; collision rebound; random vibration
driven oscillator resonance video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,oscillation_rotation_and_vibration,0,60,Amplitude grows under a repeated external drive near the resonant frequency.,principle_id=PHY_OSC_003; priority=core; reject=Reject videos that only show large vibration without a drive-frequency relation.; hard_negative_family=damping decay; collision rebound; random vibration,principle_id=PHY_OSC_003; priority=core; reject=Reject videos that only show large vibration without a drive-frequency relation.; hard_negative_family=damping decay; collision rebound; random vibration
mechanical resonance slow motion,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,oscillation_rotation_and_vibration,0,60,Amplitude grows under a repeated external drive near the resonant frequency.,principle_id=PHY_OSC_003; priority=core; reject=Reject videos that only show large vibration without a drive-frequency relation.; hard_negative_family=damping decay; collision rebound; random vibration,principle_id=PHY_OSC_003; priority=core; reject=Reject videos that only show large vibration without a drive-frequency relation.; hard_negative_family=damping decay; collision rebound; random vibration
Venturi effect manometer video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,fluids_pressure_and_buoyancy,0,60,Manometer/liquid column or pressure indicator changes when flow starts or constriction speed increases.,principle_id=PHY_FLU_001; priority=core; reject=Reject videos showing only a pipe shape without flow or pressure response.; hard_negative_family=capillary rise; buoyancy; siphon,principle_id=PHY_FLU_001; priority=core; reject=Reject videos showing only a pipe shape without flow or pressure response.; hard_negative_family=capillary rise; buoyancy; siphon
Bernoulli pressure drop constriction video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,fluids_pressure_and_buoyancy,0,60,Manometer/liquid column or pressure indicator changes when flow starts or constriction speed increases.,principle_id=PHY_FLU_001; priority=core; reject=Reject videos showing only a pipe shape without flow or pressure response.; hard_negative_family=capillary rise; buoyancy; siphon,principle_id=PHY_FLU_001; priority=core; reject=Reject videos showing only a pipe shape without flow or pressure response.; hard_negative_family=capillary rise; buoyancy; siphon
buoyancy density float sink experiment video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,fluids_pressure_and_buoyancy,0,60,"Object sinks, floats, or reaches neutral buoyancy as density/ballast changes.",principle_id=PHY_FLU_002; priority=core; reject=Reject generic boats moving without density or displacement change.; hard_negative_family=surface tension support; propulsion; pressure-driven flow,principle_id=PHY_FLU_002; priority=core; reject=Reject generic boats moving without density or displacement change.; hard_negative_family=surface tension support; propulsion; pressure-driven flow
ballast buoyancy demonstration video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,fluids_pressure_and_buoyancy,0,60,"Object sinks, floats, or reaches neutral buoyancy as density/ballast changes.",principle_id=PHY_FLU_002; priority=core; reject=Reject generic boats moving without density or displacement change.; hard_negative_family=surface tension support; propulsion; pressure-driven flow,principle_id=PHY_FLU_002; priority=core; reject=Reject generic boats moving without density or displacement change.; hard_negative_family=surface tension support; propulsion; pressure-driven flow
neutral buoyancy video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,fluids_pressure_and_buoyancy,0,60,"Object sinks, floats, or reaches neutral buoyancy as density/ballast changes.",principle_id=PHY_FLU_002; priority=core; reject=Reject generic boats moving without density or displacement change.; hard_negative_family=surface tension support; propulsion; pressure-driven flow,principle_id=PHY_FLU_002; priority=core; reject=Reject generic boats moving without density or displacement change.; hard_negative_family=surface tension support; propulsion; pressure-driven flow
siphon pressure gradient flow video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,fluids_pressure_and_buoyancy,0,60,Liquid continues moving through a tube across height differences with visible level changes.,principle_id=PHY_FLU_003; priority=core; reject=Reject source-only siphon claims where no flow path or level change is visible.; hard_negative_family=capillary rise; pump-driven flow; diffusion,principle_id=PHY_FLU_003; priority=core; reject=Reject source-only siphon claims where no flow path or level change is visible.; hard_negative_family=capillary rise; pump-driven flow; diffusion
transparent siphon liquid level video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,fluids_pressure_and_buoyancy,0,60,Liquid continues moving through a tube across height differences with visible level changes.,principle_id=PHY_FLU_003; priority=core; reject=Reject source-only siphon claims where no flow path or level change is visible.; hard_negative_family=capillary rise; pump-driven flow; diffusion,principle_id=PHY_FLU_003; priority=core; reject=Reject source-only siphon claims where no flow path or level change is visible.; hard_negative_family=capillary rise; pump-driven flow; diffusion
surface tension droplet relaxation slow motion,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,surface_and_capillary_processes,0,60,"Elongated drops retract, oscillate, or relax toward rounder shapes.",principle_id=PHY_SUR_001; priority=core; reject=Reject still droplets or splash-only clips without relaxation dynamics.; hard_negative_family=gravity fall; wetting spread; evaporation,principle_id=PHY_SUR_001; priority=core; reject=Reject still droplets or splash-only clips without relaxation dynamics.; hard_negative_family=gravity fall; wetting spread; evaporation
liquid bridge surface tension retraction video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,surface_and_capillary_processes,0,60,"Elongated drops retract, oscillate, or relax toward rounder shapes.",principle_id=PHY_SUR_001; priority=core; reject=Reject still droplets or splash-only clips without relaxation dynamics.; hard_negative_family=gravity fall; wetting spread; evaporation,principle_id=PHY_SUR_001; priority=core; reject=Reject still droplets or splash-only clips without relaxation dynamics.; hard_negative_family=gravity fall; wetting spread; evaporation
capillary action liquid rise time lapse,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,surface_and_capillary_processes,0,60,"Liquid front rises or advances through a tube, paper, or porous medium.",principle_id=PHY_SUR_002; priority=core; reject=Reject non-porous droplet rolling or source-only capillary titles.; hard_negative_family=bulk pouring; diffusion only; surface beading,principle_id=PHY_SUR_002; priority=core; reject=Reject non-porous droplet rolling or source-only capillary titles.; hard_negative_family=bulk pouring; diffusion only; surface beading
paper wicking capillary action video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,surface_and_capillary_processes,0,60,"Liquid front rises or advances through a tube, paper, or porous medium.",principle_id=PHY_SUR_002; priority=core; reject=Reject non-porous droplet rolling or source-only capillary titles.; hard_negative_family=bulk pouring; diffusion only; surface beading,principle_id=PHY_SUR_002; priority=core; reject=Reject non-porous droplet rolling or source-only capillary titles.; hard_negative_family=bulk pouring; diffusion only; surface beading
capillary rise tube experiment,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,surface_and_capillary_processes,0,60,"Liquid front rises or advances through a tube, paper, or porous medium.",principle_id=PHY_SUR_002; priority=core; reject=Reject non-porous droplet rolling or source-only capillary titles.; hard_negative_family=bulk pouring; diffusion only; surface beading,principle_id=PHY_SUR_002; priority=core; reject=Reject non-porous droplet rolling or source-only capillary titles.; hard_negative_family=bulk pouring; diffusion only; surface beading
contact angle wetting droplet spreading video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,surface_and_capillary_processes,0,60,"Droplet contact angle decreases, spreads, or switches from rebound to wetting.",principle_id=PHY_SUR_003; priority=core; reject=Reject clips showing a final wet surface without spreading over time.; hard_negative_family=capillary rise; evaporation; precipitation,principle_id=PHY_SUR_003; priority=core; reject=Reject clips showing a final wet surface without spreading over time.; hard_negative_family=capillary rise; evaporation; precipitation
droplet impact transition rebound wetting slow motion,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,surface_and_capillary_processes,0,60,"Droplet contact angle decreases, spreads, or switches from rebound to wetting.",principle_id=PHY_SUR_003; priority=core; reject=Reject clips showing a final wet surface without spreading over time.; hard_negative_family=capillary rise; evaporation; precipitation,principle_id=PHY_SUR_003; priority=core; reject=Reject clips showing a final wet surface without spreading over time.; hard_negative_family=capillary rise; evaporation; precipitation
bimetallic strip thermal expansion video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,thermal_physical_response,0,60,Composite strip or bonded structure curves as temperature changes.,principle_id=PHY_THR_001; priority=core; reject=Reject heating clips without visible deformation or temperature-linked response.; hard_negative_family=plastic deformation by force; pendulum; melting,principle_id=PHY_THR_001; priority=core; reject=Reject heating clips without visible deformation or temperature-linked response.; hard_negative_family=plastic deformation by force; pendulum; melting
differential thermal expansion bending video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,thermal_physical_response,0,60,Composite strip or bonded structure curves as temperature changes.,principle_id=PHY_THR_001; priority=core; reject=Reject heating clips without visible deformation or temperature-linked response.; hard_negative_family=plastic deformation by force; pendulum; melting,principle_id=PHY_THR_001; priority=core; reject=Reject heating clips without visible deformation or temperature-linked response.; hard_negative_family=plastic deformation by force; pendulum; melting
Leidenfrost droplet skittering slow motion,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,thermal_physical_response,0,60,Droplet skitters or survives on a very hot surface while vapor supports it.,principle_id=PHY_THR_002; priority=core; reject=Reject ordinary boiling droplets without vapor-layer gliding.; hard_negative_family=wetting spread; evaporation plume; capillary action,principle_id=PHY_THR_002; priority=core; reject=Reject ordinary boiling droplets without vapor-layer gliding.; hard_negative_family=wetting spread; evaporation plume; capillary action
Leidenfrost effect hot plate video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,thermal_physical_response,0,60,Droplet skitters or survives on a very hot surface while vapor supports it.,principle_id=PHY_THR_002; priority=core; reject=Reject ordinary boiling droplets without vapor-layer gliding.; hard_negative_family=wetting spread; evaporation plume; capillary action,principle_id=PHY_THR_002; priority=core; reject=Reject ordinary boiling droplets without vapor-layer gliding.; hard_negative_family=wetting spread; evaporation plume; capillary action
magnetic field alignment particles video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,electromagnetism_and_fields,0,60,"Needles, particles, or domains rotate or align when field direction changes.",principle_id=PHY_EM_001; priority=core; reject=Reject clips with magnets touching objects directly without field-driven alignment.; hard_negative_family=electric-field migration; gravity; fluid flow,principle_id=PHY_EM_001; priority=core; reject=Reject clips with magnets touching objects directly without field-driven alignment.; hard_negative_family=electric-field migration; gravity; fluid flow
magnetic dipole torque alignment video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,electromagnetism_and_fields,0,60,"Needles, particles, or domains rotate or align when field direction changes.",principle_id=PHY_EM_001; priority=core; reject=Reject clips with magnets touching objects directly without field-driven alignment.; hard_negative_family=electric-field migration; gravity; fluid flow,principle_id=PHY_EM_001; priority=core; reject=Reject clips with magnets touching objects directly without field-driven alignment.; hard_negative_family=electric-field migration; gravity; fluid flow
ferrofluid magnetic field motion video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,electromagnetism_and_fields,0,60,"Needles, particles, or domains rotate or align when field direction changes.",principle_id=PHY_EM_001; priority=core; reject=Reject clips with magnets touching objects directly without field-driven alignment.; hard_negative_family=electric-field migration; gravity; fluid flow,principle_id=PHY_EM_001; priority=core; reject=Reject clips with magnets touching objects directly without field-driven alignment.; hard_negative_family=electric-field migration; gravity; fluid flow
electric field charged droplet motion video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,electromagnetism_and_fields,0,60,Particles/droplets move along field lines or deform between electrodes.,principle_id=PHY_EM_002; priority=core; reject=Reject clips where electrodes are visible but no field-driven motion occurs.; hard_negative_family=magnetic alignment; diffusion; buoyancy,principle_id=PHY_EM_002; priority=core; reject=Reject clips where electrodes are visible but no field-driven motion occurs.; hard_negative_family=magnetic alignment; diffusion; buoyancy
electrophoresis particle migration video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,electromagnetism_and_fields,0,60,Particles/droplets move along field lines or deform between electrodes.,principle_id=PHY_EM_002; priority=core; reject=Reject clips where electrodes are visible but no field-driven motion occurs.; hard_negative_family=magnetic alignment; diffusion; buoyancy,principle_id=PHY_EM_002; priority=core; reject=Reject clips where electrodes are visible but no field-driven motion occurs.; hard_negative_family=magnetic alignment; diffusion; buoyancy
supersaturated solution crystallization time lapse,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,phase_change_and_crystallization,0,60,Crystal nuclei appear and faces/fronts expand through solution.,principle_id=CHM_PHA_001; priority=core; reject=Reject static crystals or source-only crystallization titles.; hard_negative_family=precipitation cloud; dye diffusion; melting only,principle_id=CHM_PHA_001; priority=core; reject=Reject static crystals or source-only crystallization titles.; hard_negative_family=precipitation cloud; dye diffusion; melting only
crystal nucleation growth video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,phase_change_and_crystallization,0,60,Crystal nuclei appear and faces/fronts expand through solution.,principle_id=CHM_PHA_001; priority=core; reject=Reject static crystals or source-only crystallization titles.; hard_negative_family=precipitation cloud; dye diffusion; melting only,principle_id=CHM_PHA_001; priority=core; reject=Reject static crystals or source-only crystallization titles.; hard_negative_family=precipitation cloud; dye diffusion; melting only
sodium acetate crystallization video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,phase_change_and_crystallization,0,60,Crystal nuclei appear and faces/fronts expand through solution.,principle_id=CHM_PHA_001; priority=core; reject=Reject static crystals or source-only crystallization titles.; hard_negative_family=precipitation cloud; dye diffusion; melting only,principle_id=CHM_PHA_001; priority=core; reject=Reject static crystals or source-only crystallization titles.; hard_negative_family=precipitation cloud; dye diffusion; melting only
solidification front time lapse,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,phase_change_and_crystallization,0,60,A visible solid-liquid boundary advances or dendrites grow.,principle_id=CHM_PHA_002; priority=core; reject=Reject final frozen samples without front propagation.; hard_negative_family=precipitation; evaporation; gas evolution,principle_id=CHM_PHA_002; priority=core; reject=Reject final frozen samples without front propagation.; hard_negative_family=precipitation; evaporation; gas evolution
ice crystal growth time lapse,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,phase_change_and_crystallization,0,60,A visible solid-liquid boundary advances or dendrites grow.,principle_id=CHM_PHA_002; priority=core; reject=Reject final frozen samples without front propagation.; hard_negative_family=precipitation; evaporation; gas evolution,principle_id=CHM_PHA_002; priority=core; reject=Reject final frozen samples without front propagation.; hard_negative_family=precipitation; evaporation; gas evolution
freezing front propagation video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,phase_change_and_crystallization,0,60,A visible solid-liquid boundary advances or dendrites grow.,principle_id=CHM_PHA_002; priority=core; reject=Reject final frozen samples without front propagation.; hard_negative_family=precipitation; evaporation; gas evolution,principle_id=CHM_PHA_002; priority=core; reject=Reject final frozen samples without front propagation.; hard_negative_family=precipitation; evaporation; gas evolution
iodine clock reaction color change video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,redox_and_endpoint_reactions,0,60,"A mixture remains light, then abruptly turns dark after a delay.",principle_id=CHM_RED_001; priority=core; reject=Reject generic color changes without delayed endpoint.; hard_negative_family=precipitation; acid base indicator; diffusion,principle_id=CHM_RED_001; priority=core; reject=Reject generic color changes without delayed endpoint.; hard_negative_family=precipitation; acid base indicator; diffusion
iodine clock delayed endpoint video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,redox_and_endpoint_reactions,0,60,"A mixture remains light, then abruptly turns dark after a delay.",principle_id=CHM_RED_001; priority=core; reject=Reject generic color changes without delayed endpoint.; hard_negative_family=precipitation; acid base indicator; diffusion,principle_id=CHM_RED_001; priority=core; reject=Reject generic color changes without delayed endpoint.; hard_negative_family=precipitation; acid base indicator; diffusion
Benedict test reducing sugar precipitate video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,redox_and_endpoint_reactions,0,60,Blue reagent changes toward orange-red and precipitate forms during heating.,principle_id=CHM_RED_002; priority=core; reject=Reject if only final tube colors are shown or source text supplies all chemistry.; hard_negative_family=iodine clock; pH indicator; simple dye mixing,principle_id=CHM_RED_002; priority=core; reject=Reject if only final tube colors are shown or source text supplies all chemistry.; hard_negative_family=iodine clock; pH indicator; simple dye mixing
Benedict reagent color change heating video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,redox_and_endpoint_reactions,0,60,Blue reagent changes toward orange-red and precipitate forms during heating.,principle_id=CHM_RED_002; priority=core; reject=Reject if only final tube colors are shown or source text supplies all chemistry.; hard_negative_family=iodine clock; pH indicator; simple dye mixing,principle_id=CHM_RED_002; priority=core; reject=Reject if only final tube colors are shown or source text supplies all chemistry.; hard_negative_family=iodine clock; pH indicator; simple dye mixing
chemical traffic light reaction color cycle video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,redox_and_endpoint_reactions,0,60,Shaking/resting or reagent changes produce reversible color transitions.,principle_id=CHM_RED_003; priority=core; reject=Reject one-way color changes without redox-cycle evidence.; hard_negative_family=precipitation; crystallization; combustion,principle_id=CHM_RED_003; priority=core; reject=Reject one-way color changes without redox-cycle evidence.; hard_negative_family=precipitation; crystallization; combustion
blue bottle reaction reversible color video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,redox_and_endpoint_reactions,0,60,Shaking/resting or reagent changes produce reversible color transitions.,principle_id=CHM_RED_003; priority=core; reject=Reject one-way color changes without redox-cycle evidence.; hard_negative_family=precipitation; crystallization; combustion,principle_id=CHM_RED_003; priority=core; reject=Reject one-way color changes without redox-cycle evidence.; hard_negative_family=precipitation; crystallization; combustion
chemical chameleon reaction video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,redox_and_endpoint_reactions,0,60,Shaking/resting or reagent changes produce reversible color transitions.,principle_id=CHM_RED_003; priority=core; reject=Reject one-way color changes without redox-cycle evidence.; hard_negative_family=precipitation; crystallization; combustion,principle_id=CHM_RED_003; priority=core; reject=Reject one-way color changes without redox-cycle evidence.; hard_negative_family=precipitation; crystallization; combustion
precipitation reaction insoluble solid forming video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,precipitation_and_solubility,0,60,Solutions become cloudy or solid particles appear after mixing.,principle_id=CHM_PRE_001; priority=core; reject=Reject if the solid is already present before mixing or the identity is only in source text.; hard_negative_family=gas bubbles; dye diffusion; crystallization front,principle_id=CHM_PRE_001; priority=core; reject=Reject if the solid is already present before mixing or the identity is only in source text.; hard_negative_family=gas bubbles; dye diffusion; crystallization front
