search_term,initial_category,candidate_knowledge_point,domain_seed,subdomain_seed,default_start_sec,default_end_sec,why_dynamic,notes,collector_notes,capability_label,dynamic_concept_id,dynamic_concept,capability_queue_rank
Elodea photosynthesis oxygen bubble video,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_growth_and_tropisms,0,60,Oxygen bubbles increase after light exposure or light intensity changes.,principle_id=BIO_ENE_001; priority=core; reject=Reject generic plant growth videos or final gas collection only.; hard_negative_family=respiration CO2; boiling; gas evolution chemistry; capability_label=DMR,principle_id=BIO_ENE_001; priority=core; reject=Reject generic plant growth videos or final gas collection only.; hard_negative_family=respiration CO2; boiling; gas evolution chemistry; capability_label=DMR,DMR,,,11
root gravitropism time lapse,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,plant_growth_and_tropisms,0,60,Roots or shoots curve after the plant is rotated.,capability_label=DCR; dynamic_concept_id=DCR_BIO_GRAVI_001; linked_principle_id=BIO_TRO_002; aliases=geotropism; root gravitropism; shoot gravitropism; reject=Reject clips without a rotation/reorientation event.; hard_negative_concepts=phototropism; hydrotropism; simple elongation,capability_label=DCR; dynamic_concept_id=DCR_BIO_GRAVI_001; linked_principle_id=BIO_TRO_002; aliases=geotropism; root gravitropism; shoot gravitropism; reject=Reject clips without a rotation/reorientation event.; hard_negative_concepts=phototropism; hydrotropism; simple elongation,DCR,DCR_BIO_GRAVI_001,gravitropism,12
thigmonasty plant movement touch time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_nastic_movements,0,60,Touch is followed by rapid closure or bending independent of stimulus direction.,principle_id=BIO_NAS_001; priority=core; reject=Reject closed-only/open-only frames or clips where touch is not visible.; hard_negative_family=thigmotropism; phototropism; wilting; capability_label=DMR,principle_id=BIO_NAS_001; priority=core; reject=Reject closed-only/open-only frames or clips where touch is not visible.; hard_negative_family=thigmotropism; phototropism; wilting; capability_label=DMR,DMR,,,13
Mimosa leaf folding touch video,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_nastic_movements,0,60,Touch is followed by rapid closure or bending independent of stimulus direction.,principle_id=BIO_NAS_001; priority=core; reject=Reject closed-only/open-only frames or clips where touch is not visible.; hard_negative_family=thigmotropism; phototropism; wilting; capability_label=DMR,principle_id=BIO_NAS_001; priority=core; reject=Reject closed-only/open-only frames or clips where touch is not visible.; hard_negative_family=thigmotropism; phototropism; wilting; capability_label=DMR,DMR,,,14
plasmolysis deplasmolysis time lapse microscopy,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_water_relations_and_turgor,0,60,Protoplast shrinks away from cell wall in hypertonic solution and recovers in water.,principle_id=BIO_TRA_001; priority=core; reject=Reject single final plasmolyzed images or label-only school videos.; hard_negative_family=cytoplasmic streaming; stomata; diffusion in water; capability_label=DMR,principle_id=BIO_TRA_001; priority=core; reject=Reject single final plasmolyzed images or label-only school videos.; hard_negative_family=cytoplasmic streaming; stomata; diffusion in water; capability_label=DMR,DMR,,,15
onion cell plasmolysis video,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_water_relations_and_turgor,0,60,Protoplast shrinks away from cell wall in hypertonic solution and recovers in water.,principle_id=BIO_TRA_001; priority=core; reject=Reject single final plasmolyzed images or label-only school videos.; hard_negative_family=cytoplasmic streaming; stomata; diffusion in water; capability_label=DMR,principle_id=BIO_TRA_001; priority=core; reject=Reject single final plasmolyzed images or label-only school videos.; hard_negative_family=cytoplasmic streaming; stomata; diffusion in water; capability_label=DMR,DMR,,,16
plasmolysis deplasmolysis time lapse microscopy,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,plant_water_relations_and_turgor,0,60,The protoplast shrinks away from the cell wall and may recover in water.,capability_label=DCR; dynamic_concept_id=DCR_BIO_PLASM_001; linked_principle_id=BIO_TRA_001; aliases=plasmolysis; deplasmolysis; plant cell osmotic shrinkage; reject=Reject single final plasmolyzed images or label-only clips.; hard_negative_concepts=cytoplasmic streaming; cell division; diffusion dye,capability_label=DCR; dynamic_concept_id=DCR_BIO_PLASM_001; linked_principle_id=BIO_TRA_001; aliases=plasmolysis; deplasmolysis; plant cell osmotic shrinkage; reject=Reject single final plasmolyzed images or label-only clips.; hard_negative_concepts=cytoplasmic streaming; cell division; diffusion dye,DCR,DCR_BIO_PLASM_001,plasmolysis and deplasmolysis,17
dye diffusion concentration gradient time lapse,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,diffusion_mixing_and_transport,0,60,Dye or solute front broadens from high concentration to low concentration.,principle_id=CHM_DIF_001; priority=core; reject=Reject turbulent stirring when diffusion cannot be separated.; hard_negative_family=vortex mixing; precipitation; convection; capability_label=DMR,principle_id=CHM_DIF_001; priority=core; reject=Reject turbulent stirring when diffusion cannot be separated.; hard_negative_family=vortex mixing; precipitation; convection; capability_label=DMR,DMR,,,18
diffusion in water dye time lapse,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,diffusion_mixing_and_transport,0,60,Dye or solute front broadens from high concentration to low concentration.,principle_id=CHM_DIF_001; priority=core; reject=Reject turbulent stirring when diffusion cannot be separated.; hard_negative_family=vortex mixing; precipitation; convection; capability_label=DMR,principle_id=CHM_DIF_001; priority=core; reject=Reject turbulent stirring when diffusion cannot be separated.; hard_negative_family=vortex mixing; precipitation; convection; capability_label=DMR,DMR,,,19
Taylor Couette mixing dye video,chemistry_materials_change,__construct_after_dcr_video_gate__,chemistry_materials_change,diffusion_mixing_and_transport,0,60,Colored bands elongate into layers and may reverse when shear is reversed.,capability_label=DCR; dynamic_concept_id=DCR_CHEM_DIFF_001; linked_principle_id=CHM_DIF_002; aliases=reversible laminar mixing; viscous folding; reject=Reject simple shaking or turbulent mixing clips.; hard_negative_concepts=turbulent mixing; diffusion only; precipitation,capability_label=DCR; dynamic_concept_id=DCR_CHEM_DIFF_001; linked_principle_id=CHM_DIF_002; aliases=reversible laminar mixing; viscous folding; reject=Reject simple shaking or turbulent mixing clips.; hard_negative_concepts=turbulent mixing; diffusion only; precipitation,DCR,DCR_CHEM_DIFF_001,Taylor-Couette laminar mixing,20
gas evolution reaction bubbles video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,gas_evolution_and_combustion,0,60,"Bubbles nucleate and rise, foam grows, or liquid volume changes after reactants meet.",principle_id=CHM_GAS_001; priority=core; reject=Reject ordinary boiling or pre-existing bubbles.; hard_negative_family=boiling; precipitation; diffusion; capability_label=DMR,principle_id=CHM_GAS_001; priority=core; reject=Reject ordinary boiling or pre-existing bubbles.; hard_negative_family=boiling; precipitation; diffusion; capability_label=DMR,DMR,,,21
acid carbonate reaction bubbles video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,gas_evolution_and_combustion,0,60,"Bubbles nucleate and rise, foam grows, or liquid volume changes after reactants meet.",principle_id=CHM_GAS_001; priority=core; reject=Reject ordinary boiling or pre-existing bubbles.; hard_negative_family=boiling; precipitation; diffusion; capability_label=DMR,principle_id=CHM_GAS_001; priority=core; reject=Reject ordinary boiling or pre-existing bubbles.; hard_negative_family=boiling; precipitation; diffusion; capability_label=DMR,DMR,,,22
shear thickening cornstarch impact slow motion,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,material_deformation_and_response,0,60,Material behaves liquid under slow motion but solid-like under impact.,principle_id=CHM_MAT_001; priority=core; reject=Reject generic thick liquids without rate-dependent contrast.; hard_negative_family=gelation; plastic deformation; surface tension; capability_label=DMR,principle_id=CHM_MAT_001; priority=core; reject=Reject generic thick liquids without rate-dependent contrast.; hard_negative_family=gelation; plastic deformation; surface tension; capability_label=DMR,DMR,,,23
oobleck impact resistance video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,material_deformation_and_response,0,60,Material behaves liquid under slow motion but solid-like under impact.,principle_id=CHM_MAT_001; priority=core; reject=Reject generic thick liquids without rate-dependent contrast.; hard_negative_family=gelation; plastic deformation; surface tension; capability_label=DMR,principle_id=CHM_MAT_001; priority=core; reject=Reject generic thick liquids without rate-dependent contrast.; hard_negative_family=gelation; plastic deformation; surface tension; capability_label=DMR,DMR,,,24
shear thickening oobleck slow motion,chemistry_materials_change,__construct_after_dcr_video_gate__,chemistry_materials_change,material_deformation_and_response,0,60,The same material flows slowly but resists or fractures under rapid impact.,capability_label=DCR; dynamic_concept_id=DCR_CHEM_THICK_001; linked_principle_id=CHM_MAT_001; aliases=non-Newtonian fluid impact; oobleck solid-like impact; reject=Reject clips showing only slow pouring or only a static impact aftermath.; hard_negative_concepts=high viscosity liquid; gel; plastic clay,capability_label=DCR; dynamic_concept_id=DCR_CHEM_THICK_001; linked_principle_id=CHM_MAT_001; aliases=non-Newtonian fluid impact; oobleck solid-like impact; reject=Reject clips showing only slow pouring or only a static impact aftermath.; hard_negative_concepts=high viscosity liquid; gel; plastic clay,DCR,DCR_CHEM_THICK_001,shear thickening,25
supersaturated solution crystallization time lapse,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,phase_change_and_crystallization,0,60,Crystal nuclei appear and faces/fronts expand through solution.,principle_id=CHM_PHA_001; priority=core; reject=Reject static crystals or source-only crystallization titles.; hard_negative_family=precipitation cloud; dye diffusion; melting only; capability_label=DMR,principle_id=CHM_PHA_001; priority=core; reject=Reject static crystals or source-only crystallization titles.; hard_negative_family=precipitation cloud; dye diffusion; melting only; capability_label=DMR,DMR,,,26
crystal nucleation growth video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,phase_change_and_crystallization,0,60,Crystal nuclei appear and faces/fronts expand through solution.,principle_id=CHM_PHA_001; priority=core; reject=Reject static crystals or source-only crystallization titles.; hard_negative_family=precipitation cloud; dye diffusion; melting only; capability_label=DMR,principle_id=CHM_PHA_001; priority=core; reject=Reject static crystals or source-only crystallization titles.; hard_negative_family=precipitation cloud; dye diffusion; melting only; capability_label=DMR,DMR,,,27
dendritic crystal growth time lapse,chemistry_materials_change,__construct_after_dcr_video_gate__,chemistry_materials_change,phase_change_and_crystallization,0,60,Branching crystals extend from nucleation sites over time.,capability_label=DCR; dynamic_concept_id=DCR_CHEM_DEND_001; linked_principle_id=CHM_PHA_002; aliases=dendrite growth; branching crystal growth; metal dendrites; reject=Reject final crystals without visible growth sequence.; hard_negative_concepts=precipitate cloud; final crystal; random sediment,capability_label=DCR; dynamic_concept_id=DCR_CHEM_DEND_001; linked_principle_id=CHM_PHA_002; aliases=dendrite growth; branching crystal growth; metal dendrites; reject=Reject final crystals without visible growth sequence.; hard_negative_concepts=precipitate cloud; final crystal; random sediment,DCR,DCR_CHEM_DEND_001,dendritic crystal growth,28
precipitation reaction insoluble solid forming video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,precipitation_and_solubility,0,60,Solutions become cloudy or solid particles appear after mixing.,principle_id=CHM_PRE_001; priority=core; reject=Reject if the solid is already present before mixing or the identity is only in source text.; hard_negative_family=gas bubbles; dye diffusion; crystallization front; capability_label=DMR,principle_id=CHM_PRE_001; priority=core; reject=Reject if the solid is already present before mixing or the identity is only in source text.; hard_negative_family=gas bubbles; dye diffusion; crystallization front; capability_label=DMR,DMR,,,29
silver chloride precipitate video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,precipitation_and_solubility,0,60,Solutions become cloudy or solid particles appear after mixing.,principle_id=CHM_PRE_001; priority=core; reject=Reject if the solid is already present before mixing or the identity is only in source text.; hard_negative_family=gas bubbles; dye diffusion; crystallization front; capability_label=DMR,principle_id=CHM_PRE_001; priority=core; reject=Reject if the solid is already present before mixing or the identity is only in source text.; hard_negative_family=gas bubbles; dye diffusion; crystallization front; capability_label=DMR,DMR,,,30
chemical garden growth time lapse,chemistry_materials_change,__construct_after_dcr_video_gate__,chemistry_materials_change,precipitation_and_solubility,0,60,Colored tubular or branching structures grow upward/outward in solution.,capability_label=DCR; dynamic_concept_id=DCR_CHEM_GARDEN_001; linked_principle_id=CHM_PRE_002; aliases=silicate garden; precipitation tubes; crystal garden; reject=Reject static finished gardens without growth sequence.; hard_negative_concepts=ordinary crystallization; dye diffusion; bubbles,capability_label=DCR; dynamic_concept_id=DCR_CHEM_GARDEN_001; linked_principle_id=CHM_PRE_002; aliases=silicate garden; precipitation tubes; crystal garden; reject=Reject static finished gardens without growth sequence.; hard_negative_concepts=ordinary crystallization; dye diffusion; bubbles,DCR,DCR_CHEM_GARDEN_001,chemical garden,31
iodine clock reaction color change video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,redox_and_endpoint_reactions,0,60,"A mixture remains light, then abruptly turns dark after a delay.",principle_id=CHM_RED_001; priority=core; reject=Reject generic color changes without delayed endpoint.; hard_negative_family=precipitation; acid base indicator; diffusion; capability_label=DMR,principle_id=CHM_RED_001; priority=core; reject=Reject generic color changes without delayed endpoint.; hard_negative_family=precipitation; acid base indicator; diffusion; capability_label=DMR,DMR,,,32
iodine clock delayed endpoint video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,redox_and_endpoint_reactions,0,60,"A mixture remains light, then abruptly turns dark after a delay.",principle_id=CHM_RED_001; priority=core; reject=Reject generic color changes without delayed endpoint.; hard_negative_family=precipitation; acid base indicator; diffusion; capability_label=DMR,principle_id=CHM_RED_001; priority=core; reject=Reject generic color changes without delayed endpoint.; hard_negative_family=precipitation; acid base indicator; diffusion; capability_label=DMR,DMR,,,33
Benedict test reducing sugar color change video,chemistry_materials_change,__construct_after_dcr_video_gate__,chemistry_materials_change,redox_and_endpoint_reactions,0,60,Blue solution changes toward orange-red with precipitate formation while heated.,capability_label=DCR; dynamic_concept_id=DCR_CHEM_BENEDICT_001; linked_principle_id=CHM_RED_002; aliases=Benedict reagent; reducing sugar test; reject=Reject final tube comparisons without the heating transition.; hard_negative_concepts=iodine test; pH indicator; simple boiling,capability_label=DCR; dynamic_concept_id=DCR_CHEM_BENEDICT_001; linked_principle_id=CHM_RED_002; aliases=Benedict reagent; reducing sugar test; reject=Reject final tube comparisons without the heating transition.; hard_negative_concepts=iodine test; pH indicator; simple boiling,DCR,DCR_CHEM_BENEDICT_001,Benedict test positive reaction,34
glacier flow time lapse,earth_environmental_systems,__construct_after_principle_video_gate__,earth_environmental_systems,cryosphere_and_seasonal_change,0,60,"Ice features, crevasses, or markers move over time.",principle_id=EAR_CRY_001; priority=core; reject=Reject glacier scenery without measurable motion.; hard_negative_family=river flow; avalanche; calving only; capability_label=DMR,principle_id=EAR_CRY_001; priority=core; reject=Reject glacier scenery without measurable motion.; hard_negative_family=river flow; avalanche; calving only; capability_label=DMR,DMR,,,35
ice deformation glacier motion video,earth_environmental_systems,__construct_after_principle_video_gate__,earth_environmental_systems,cryosphere_and_seasonal_change,0,60,"Ice features, crevasses, or markers move over time.",principle_id=EAR_CRY_001; priority=core; reject=Reject glacier scenery without measurable motion.; hard_negative_family=river flow; avalanche; calving only; capability_label=DMR,principle_id=EAR_CRY_001; priority=core; reject=Reject glacier scenery without measurable motion.; hard_negative_family=river flow; avalanche; calving only; capability_label=DMR,DMR,,,36
glacier calving video,earth_environmental_systems,__construct_after_dcr_video_gate__,earth_environmental_systems,cryosphere_and_seasonal_change,0,60,"An ice front cracks, detaches, falls, and generates waves or roll-over.",capability_label=DCR; dynamic_concept_id=DCR_EAR_GLCALV_001; linked_principle_id=EAR_CRY_002; aliases=iceberg calving; ice cliff collapse; reject=Reject clips showing only floating ice after detachment.; hard_negative_concepts=avalanche; ordinary wave; glacier flow,capability_label=DCR; dynamic_concept_id=DCR_EAR_GLCALV_001; linked_principle_id=EAR_CRY_002; aliases=iceberg calving; ice cliff collapse; reject=Reject clips showing only floating ice after detachment.; hard_negative_concepts=avalanche; ordinary wave; glacier flow,DCR,DCR_EAR_GLCALV_001,glacier calving,37
predator prey interaction high speed video,earth_environmental_systems,__construct_after_principle_video_gate__,earth_environmental_systems,ecosystem_interactions,0,60,"Predator approaches, accelerates or strikes, prey escapes or is captured.",principle_id=EAR_ECO_001; priority=core; reject=Reject simple co-presence of organisms without interaction sequence.; hard_negative_family=pollination; taxis; passive movement; capability_label=DMR,principle_id=EAR_ECO_001; priority=core; reject=Reject simple co-presence of organisms without interaction sequence.; hard_negative_family=pollination; taxis; passive movement; capability_label=DMR,DMR,,,38
predator strike capture slow motion,earth_environmental_systems,__construct_after_principle_video_gate__,earth_environmental_systems,ecosystem_interactions,0,60,"Predator approaches, accelerates or strikes, prey escapes or is captured.",principle_id=EAR_ECO_001; priority=core; reject=Reject simple co-presence of organisms without interaction sequence.; hard_negative_family=pollination; taxis; passive movement; capability_label=DMR,principle_id=EAR_ECO_001; priority=core; reject=Reject simple co-presence of organisms without interaction sequence.; hard_negative_family=pollination; taxis; passive movement; capability_label=DMR,DMR,,,39
sediment transport threshold flume video,earth_environmental_systems,__construct_after_principle_video_gate__,earth_environmental_systems,erosion_transport_and_deposition,0,60,"Grains transition from rest to rolling, saltation, or suspension as flow increases.",principle_id=EAR_ERO_001; priority=core; reject=Reject sediment already moving without flow change or threshold evidence.; hard_negative_family=debris flow; diffusion; landslide; capability_label=DMR,principle_id=EAR_ERO_001; priority=core; reject=Reject sediment already moving without flow change or threshold evidence.; hard_negative_family=debris flow; diffusion; landslide; capability_label=DMR,DMR,,,40
bedload motion start flume experiment,earth_environmental_systems,__construct_after_principle_video_gate__,earth_environmental_systems,erosion_transport_and_deposition,0,60,"Grains transition from rest to rolling, saltation, or suspension as flow increases.",principle_id=EAR_ERO_001; priority=core; reject=Reject sediment already moving without flow change or threshold evidence.; hard_negative_family=debris flow; diffusion; landslide; capability_label=DMR,principle_id=EAR_ERO_001; priority=core; reject=Reject sediment already moving without flow change or threshold evidence.; hard_negative_family=debris flow; diffusion; landslide; capability_label=DMR,DMR,,,41
sediment saltation flume video,earth_environmental_systems,__construct_after_dcr_video_gate__,earth_environmental_systems,erosion_transport_and_deposition,0,60,Particles transition from rest to bouncing/hopping transport above a bed.,capability_label=DCR; dynamic_concept_id=DCR_EAR_SALT_001; linked_principle_id=EAR_ERO_001; aliases=grain saltation; sand hopping; bedload saltation; reject=Reject videos where grains are already moving without visible saltation.; hard_negative_concepts=suspension cloud; landslide; simple settling,capability_label=DCR; dynamic_concept_id=DCR_EAR_SALT_001; linked_principle_id=EAR_ERO_001; aliases=grain saltation; sand hopping; bedload saltation; reject=Reject videos where grains are already moving without visible saltation.; hard_negative_concepts=suspension cloud; landslide; simple settling,DCR,DCR_EAR_SALT_001,sediment saltation,42
landslide failure slope model video,earth_environmental_systems,__construct_after_principle_video_gate__,earth_environmental_systems,geology_and_geophysical_change,0,60,"Cracks, deformation, and mass movement develop downslope.",principle_id=EAR_GEO_001; priority=core; reject=Reject post-landslide aftermath without failure sequence.; hard_negative_family=debris flow transport; erosion; glacier calving; capability_label=DMR,principle_id=EAR_GEO_001; priority=core; reject=Reject post-landslide aftermath without failure sequence.; hard_negative_family=debris flow transport; erosion; glacier calving; capability_label=DMR,DMR,,,43
slope instability landslide experiment video,earth_environmental_systems,__construct_after_principle_video_gate__,earth_environmental_systems,geology_and_geophysical_change,0,60,"Cracks, deformation, and mass movement develop downslope.",principle_id=EAR_GEO_001; priority=core; reject=Reject post-landslide aftermath without failure sequence.; hard_negative_family=debris flow transport; erosion; glacier calving; capability_label=DMR,principle_id=EAR_GEO_001; priority=core; reject=Reject post-landslide aftermath without failure sequence.; hard_negative_family=debris flow transport; erosion; glacier calving; capability_label=DMR,DMR,,,44
pyroclastic flow video,earth_environmental_systems,__construct_after_dcr_video_gate__,earth_environmental_systems,geology_and_geophysical_change,0,60,A ground-hugging ash cloud accelerates downslope from a volcanic source.,capability_label=DCR; dynamic_concept_id=DCR_EAR_PYRO_001; linked_principle_id=EAR_GEO_002; aliases=pyroclastic flow; ash gravity current; reject=Reject vertical ash plumes without ground-hugging flow.; hard_negative_concepts=ash plume rise; landslide dust; cloud shadow,capability_label=DCR; dynamic_concept_id=DCR_EAR_PYRO_001; linked_principle_id=EAR_GEO_002; aliases=pyroclastic flow; ash gravity current; reject=Reject vertical ash plumes without ground-hugging flow.; hard_negative_concepts=ash plume rise; landslide dust; cloud shadow,DCR,DCR_EAR_PYRO_001,pyroclastic density current,45
surface runoff slope erosion experiment video,earth_environmental_systems,__construct_after_principle_video_gate__,earth_environmental_systems,hydrology_and_flow_processes,0,60,"Water gathers, accelerates downslope, and forms rills or channels.",principle_id=EAR_HYD_001; priority=core; reject=Reject standing water or generic rain without flow paths.; hard_negative_family=capillary absorption; seepage only; wave motion; capability_label=DMR,principle_id=EAR_HYD_001; priority=core; reject=Reject standing water or generic rain without flow paths.; hard_negative_family=capillary absorption; seepage only; wave motion; capability_label=DMR,DMR,,,46
rainfall runoff flume video,earth_environmental_systems,__construct_after_principle_video_gate__,earth_environmental_systems,hydrology_and_flow_processes,0,60,"Water gathers, accelerates downslope, and forms rills or channels.",principle_id=EAR_HYD_001; priority=core; reject=Reject standing water or generic rain without flow paths.; hard_negative_family=capillary absorption; seepage only; wave motion; capability_label=DMR,principle_id=EAR_HYD_001; priority=core; reject=Reject standing water or generic rain without flow paths.; hard_negative_family=capillary absorption; seepage only; wave motion; capability_label=DMR,DMR,,,47
