media_asset_id,video_id,source_id,file_path,original_local_media,source_url,direct_url,license_or_usage_note,is_derivative,start_sec,end_sec,transform_note,sha256,bytes,status,error
vdcr_v1_000011,vdcr_000011,vdcr_archive_earth_000014,release/media/videos/vdcr_v1_000011.mp4,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000014_seg_042000_055000.mp4,https://archive.org/details/vimeo-303438254,https://archive.org/download/vimeo-303438254/GREENLAND_-_THE_MELTING_ISLAND_4K-303438254.mp4,archive_license_verify_on_page,true,42.0,55.0,seg_042000_055000,435551ae424c566954a811af9bdff8878205c11d189bf95e6246eedcdb373e1f,25841738,existing_release,
vdcr_v1_000012,vdcr_000012,vdcr_archive_b02_000006,release/media/videos/vdcr_v1_000012.mp4,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000006_seg_270000_280000_crop.mp4,https://archive.org/details/youtube-f9CVF4yLluY,https://archive.org/download/youtube-f9CVF4yLluY/f9CVF4yLluY.mp4,archive_license_verify_on_page,true,270.0,280.0,seg_270000_280000_crop,f10a8709436cf0df1c598fa3b098a721eb9423ad86822d977a953e13071900f3,1895194,existing_release,
vdcr_v1_000013,vdcr_000013,vdcr_archive_b03_000028,release/media/videos/vdcr_v1_000013.mp4,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000028_seg_075000_115000.mp4,https://archive.org/details/ccpamd-amoeba,https://archive.org/download/ccpamd-amoeba/amoeba.mp4,archive_license_verify_on_page,true,75.0,115.0,seg_075000_115000,723308ff0c715abe4248a43a6c81be234665ac5d5d836e7ef0258dfeecfb2418,2872116,existing_release,
vdcr_v1_000014,vdcr_000014,vdcr_archive_b03_000027,release/media/videos/vdcr_v1_000014.mp4,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000027.mp4,https://archive.org/details/wikimedia-org-Mimosa_pudica_leaves_folding_when_touched_3,https://archive.org/download/wikimedia-org-Mimosa_pudica_leaves_folding_when_touched_3/Mimosa_pudica_leaves_folding_when_touched_3.mp4,archive_license_verify_on_page,false,,,,72c5353dfbc57ee2579a230b2cf6e92b1c4c303d359af66fa38cf162742a3dd8,1123494,downloaded,
vdcr_v1_000015,vdcr_000015,vdcr_archive_b02_000004,release/media/videos/vdcr_v1_000015.mp4,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000004_seg_178000_196000.mp4,https://archive.org/details/youtube-4AxiXS9n0dw,https://archive.org/download/youtube-4AxiXS9n0dw/4AxiXS9n0dw.mp4,archive_license_verify_on_page,true,178.0,196.0,seg_178000_196000,22cbf1d084425e825fffb198f25bfe03ce46f6cb3df2ae6040857f50354da5c3,1744658,existing_release,
vdcr_v1_000016,vdcr_000016,vdcr_archive_earth_000010,release/media/videos/vdcr_v1_000016.ogv,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000010_seg_120000_145000.ogv,https://archive.org/details/volcanoes,https://archive.org/download/volcanoes/volcanoes.ogv,http://creativecommons.org/licenses/publicdomain/,true,120.0,145.0,seg_120000_145000,051c2b63089ad155b555756d9c742d49a037c475fb4d61bee081382713d78c01,6010022,existing_release,
vdcr_v1_000017,vdcr_000017,vdcr_archive_b03_000057,release/media/videos/vdcr_v1_000017.ogv,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000057_seg_034000_050000_crop.ogv,https://archive.org/details/B.C.FirefighterCapturesVideoOfFireWhirl,https://archive.org/download/B.C.FirefighterCapturesVideoOfFireWhirl/B.C.%20firefighter%20captures%20video%20of%20fire%20whirl-.ogv,archive_license_verify_on_page,true,34.0,50.0,seg_034000_050000_crop,533d9d35cd456e671c253fe88740a2b6e6913db5fa1054b679fd86cc6abdc199,899999,existing_release,
vdcr_v1_000018,vdcr_000018,vdcr_commons_mr1_000001,release/media/videos/vdcr_v1_000018.mp4,media/vdcr_commons_manual_segments_round1_v1/vdcr_commons_mr1_000001_seg_008000_020000.mp4,https://commons.wikimedia.org/wiki/File:Chemical_garden_growing.webm,https://upload.wikimedia.org/wikipedia/commons/b/b5/Chemical_garden_growing.webm,CC-BY-3.0 reviewed YouTube source on Commons,true,8.0,20.0,seg_008000_020000,66c5dd617968262f232ddc886351a336c735f33bebbb5937257874ac028c9353,368211,existing_release,
vdcr_v1_000019,vdcr_000019,vdcr_commons_mr1_000002,release/media/videos/vdcr_v1_000019.mp4,media/vdcr_commons_manual_segments_round1_v1/vdcr_commons_mr1_000002_seg_020000_150000.mp4,https://commons.wikimedia.org/wiki/File:Blue_bottle_(chemical_reaction).webm,https://upload.wikimedia.org/wikipedia/commons/9/96/Blue_bottle_%28chemical_reaction%29.webm,CC-BY-3.0 reviewed YouTube source on Commons,true,20.0,150.0,seg_020000_150000,d944cef3ea77c0d588046d044fbd0e69b4f2c6867b085a9d94e5e23d9e17b2b0,7390080,existing_release,
vdcr_v1_000020,vdcr_000020,vdcr_commons_mr1_000003,release/media/videos/vdcr_v1_000020.webm,media/vdcr_commons_manual_round1_v1/vdcr_commons_mr1_000003.webm,https://commons.wikimedia.org/wiki/File:Phototropism_in_Solanum_lycopersicum.webm,https://upload.wikimedia.org/wikipedia/commons/a/aa/Phototropism_in_Solanum_lycopersicum.webm,CC-BY reviewed YouTube source on Commons,false,,,,f65c5a211cf6e1d8979eb40d0f803d2469ea866c7a1702bae0bcf0731ac51c0f,1195415,existing_release,
vdcr_v1_000021,vdcr_000021,vdcr_commons_mr1_000004,release/media/videos/vdcr_v1_000021.mp4,media/vdcr_commons_manual_segments_round1_v1/vdcr_commons_mr1_000004_seg_020000_100000.mp4,https://commons.wikimedia.org/wiki/File:Arnside_bore.ogv,https://upload.wikimedia.org/wikipedia/commons/3/3e/Arnside_bore.ogv,CC-BY-SA-3.0,true,20.0,100.0,seg_020000_100000,5512a4f796eef58105f53ce2250c9f7792a73ba1c2967e6f7a7a1067802684c9,8967007,existing_release,
vdcr_v1_000022,vdcr_000022,vdcr_commons_mr1_000006,release/media/videos/vdcr_v1_000022.mp4,media/vdcr_commons_manual_segments_round1_v1/vdcr_commons_mr1_000006_seg_020000_055000.mp4,https://commons.wikimedia.org/wiki/File:%D0%93%D0%B8%D0%B4%D1%80%D0%B0%D0%B2%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D1%80%D1%8B%D0%B6%D0%BE%D0%BA.webm,https://upload.wikimedia.org/wikipedia/commons/0/0b/%D0%93%D0%B8%D0%B4%D1%80%D0%B0%D0%B2%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D1%80%D1%8B%D0%B6%D0%BE%D0%BA.webm,CC-BY-3.0 GetAClass/Wikimedia RU project,true,20.0,55.0,seg_020000_055000,a5977e62b86e2b545d5b39211073c8ec19da9b12ab489bad1466e6e255e16879,7166698,existing_release,
vdcr_v1_000023,vdcr_000023,vdcr_commons_mr2_000001,release/media/videos/vdcr_v1_000023.ogv,media/vdcr_commons_manual_round2_v1/vdcr_commons_mr2_000001.ogv,https://commons.wikimedia.org/wiki/File:K-V_Street_Video1.ogv,https://upload.wikimedia.org/wikipedia/commons/f/fc/K-V_Street_Video1.ogv,Public domain on Commons,false,,,,002bc7e911530a6861892da24b0ec2648ae00c31c7c3934577a5f35beacfe767,111836,existing_release,
vdcr_v1_000024,vdcr_000024,vdcr_commons_mr2_000002,release/media/videos/vdcr_v1_000024.webm,media/vdcr_commons_manual_round2_v1/vdcr_commons_mr2_000002.webm,https://commons.wikimedia.org/wiki/File:Effet_Leidenfrost.webm,https://upload.wikimedia.org/wikipedia/commons/b/b1/Effet_Leidenfrost.webm,CC-BY-SA-4.0 on Commons,false,,,,66bf3969ae89ea1919eec0855af5d0fe057c2385d95c336d3e189362a1ab5ed7,20147149,existing_release,
vdcr_v1_000025,vdcr_000025,vdcr_commons_mr2_000003,release/media/videos/vdcr_v1_000025.webm,media/vdcr_commons_manual_round2_v1/vdcr_commons_mr2_000003.webm,https://commons.wikimedia.org/wiki/File:Capillary_breakup.webm,https://upload.wikimedia.org/wikipedia/commons/2/28/Capillary_breakup.webm,CC-BY-SA-4.0 on Commons,false,,,,15326aa615b17d0c02c9977127c02b8bee5db94f9e7768433d08a4b7bbe3a358,744806,existing_release,
vdcr_v1_000026,vdcr_000026,vdcr_commons_mr2_000004,release/media/videos/vdcr_v1_000026.webm,media/vdcr_commons_manual_round2_v1/vdcr_commons_mr2_000004.webm,https://commons.wikimedia.org/wiki/File:A_supercell_with_rotating_updraft_in_SE_Colorado_and_SW_Kansas_(CIRA_2019-05-03).webm,https://upload.wikimedia.org/wikipedia/commons/5/50/A_supercell_with_rotating_updraft_in_SE_Colorado_and_SW_Kansas_%28CIRA_2019-05-03%29.webm,Public domain NOAA/CSU-CIRA material on Commons,false,,,,b69fbad472cd126016faf1eb9db03962d9e4fde62d0cfc05c2d77841d9566095,11136904,existing_release,
vdcr_v1_000027,vdcr_000027,vdcr_commons_mr3_000001,release/media/videos/vdcr_v1_000027.webm,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000001.ogv,https://commons.wikimedia.org/wiki/File:32._%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%98%D0%B0_%D0%BD%D0%B0_%D0%BD%D0%B0%D1%82%D1%80%D0%B8%D1%83%D0%BC_%D0%B0%D1%86%D0%B5%D1%82%D0%B0%D1%82.ogv,https://upload.wikimedia.org/wikipedia/commons/transcoded/c/cc/32._%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%98%D0%B0_%D0%BD%D0%B0_%D0%BD%D0%B0%D1%82%D1%80%D0%B8%D1%83%D0%BC_%D0%B0%D1%86%D0%B5%D1%82%D0%B0%D1%82.ogv/32._%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%98%D0%B0_%D0%BD%D0%B0_%D0%BD%D0%B0%D1%82%D1%80%D0%B8%D1%83%D0%BC_%D0%B0%D1%86%D0%B5%D1%82%D0%B0%D1%82.ogv.360p.webm,CC-BY-SA-4.0 on Commons own work,false,,,,b9ff9d2a4dccc1b6967ee98c5157b787923aff8a1cdad79af37128a0a5907c4b,2686250,downloaded,
vdcr_v1_000028,vdcr_000028,vdcr_commons_mr3_000002,release/media/videos/vdcr_v1_000028.webm,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000002.webm,https://commons.wikimedia.org/wiki/File:Liesegang_band_experiment.webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/d/d4/Liesegang_band_experiment.webm/Liesegang_band_experiment.webm.360p.webm,CC-BY-3.0 YouTube source reviewed on Commons,false,,,,ef7b792dee666bbde06723f3421893885bef2b54d2366d61338b426237b54513,441863,downloaded,
vdcr_v1_000029,vdcr_000029,vdcr_commons_mr3_000004,release/media/videos/vdcr_v1_000029.webm,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000004.ogv,https://commons.wikimedia.org/wiki/File:Multiplex-lithography-for-multilevel-multiscale-architectures-and-its-application-to-polymer-ncomms9484-s3.ogv,https://upload.wikimedia.org/wikipedia/commons/transcoded/9/94/Multiplex-lithography-for-multilevel-multiscale-architectures-and-its-application-to-polymer-ncomms9484-s3.ogv/Multiplex-lithography-for-multilevel-multiscale-architectures-and-its-application-to-polymer-ncomms9484-s3.ogv.360p.webm,CC-BY-4.0 on Commons from Nature Communications supplementary movie,false,,,,f2f441af7d3b67c55dea2973a22db663b94333b6c110f5c635f3eaedf715fd04,1008643,downloaded,
vdcr_v1_000030,vdcr_000030,vdcr_commons_mr3_000005,release/media/videos/vdcr_v1_000030.webm,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000005.webm,https://commons.wikimedia.org/wiki/File:Venus_Flytrap_(time_lapse).webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/6/6e/Venus_Flytrap_(time_lapse).webm/Venus_Flytrap_(time_lapse).webm.360p.webm,CC-BY-3.0 YouTube source reviewed on Commons,false,,,,179a92d25c4c47d24de10819a8316f1e9bf35a6e88d644630b3dc1bf98b55aa5,6414601,downloaded,
vdcr_v1_000031,vdcr_000031,vdcr_commons_mr3_000007,release/media/videos/vdcr_v1_000031.webm,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000007.webm,https://commons.wikimedia.org/wiki/File:Gust_Front_Expands_From_Storms_Over_the_Gulf_of_Mexico_(CIRA_2024-04-29_-_nolabels_portrait).webm,https://upload.wikimedia.org/wikipedia/commons/a/a8/Gust_Front_Expands_From_Storms_Over_the_Gulf_of_Mexico_%28CIRA_2024-04-29_-_nolabels_portrait%29.webm,Public domain NOAA/CSU-CIRA material on Commons,false,,,,a49f6339bba167d95c439386f18e3cf6fb2b27143f102c263877e0f1d0fabcdd,9957656,existing_release,
vdcr_v1_000032,vdcr_000032,vdcr_commons_mr4_000002,release/media/videos/vdcr_v1_000032.webm,media/vdcr_commons_manual_round4_v1/vdcr_commons_mr4_000002.ogv,https://commons.wikimedia.org/wiki/File:MicrotubuleDynamicInstability.ogv,https://upload.wikimedia.org/wikipedia/commons/transcoded/a/a0/MicrotubuleDynamicInstability.ogv/MicrotubuleDynamicInstability.ogv.360p.webm,Commons page/license review needed,false,,,,87b36ce286fc03bb651b26f986383f1c9eedf8f15b6f61be2e3a2f88b31cbbe2,842277,downloaded,
vdcr_v1_000033,vdcr_000033,vdcr_commons_mr4_000003,release/media/videos/vdcr_v1_000033.webm,media/vdcr_commons_manual_round4_v1/vdcr_commons_mr4_000003.ogv,https://commons.wikimedia.org/wiki/File:Calcium-Wave-Propagation-in-Networks-of-Endothelial-Cells-Model-based-Theoretical-and-Experimental-pcbi.1002847.s006.ogv,https://upload.wikimedia.org/wikipedia/commons/transcoded/3/33/Calcium-Wave-Propagation-in-Networks-of-Endothelial-Cells-Model-based-Theoretical-and-Experimental-pcbi.1002847.s006.ogv/Calcium-Wave-Propagation-in-Networks-of-Endothelial-Cells-Model-based-Theoretical-and-Experimental-pcbi.1002847.s006.ogv.360p.webm,Commons/PLOS supplementary license review needed,false,,,,573eee89d3fa501ec077752b69a8aeb1c6b5dc8b6c56d1ac00516d99fda96545,324388,downloaded,
vdcr_v1_000034,vdcr_000034,vdcr_commons_mr4_000007,release/media/videos/vdcr_v1_000034.webm,media/vdcr_commons_manual_round4_v1/vdcr_commons_mr4_000007.webm,https://commons.wikimedia.org/wiki/File:Phoenix_DustStorm.webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/7/70/Phoenix_DustStorm.webm/Phoenix_DustStorm.webm.360p.webm,Commons page/license review needed,false,,,,b1ec3830607395cf80e1ab20f29a3e0376f67aa19b54dd4a1457fa605260c99d,1106095,downloaded,
vdcr_v1_000035,vdcr_000035,vdcr_commons_mr4_000010,release/media/videos/vdcr_v1_000035.webm,media/vdcr_commons_manual_round4_v1/vdcr_commons_mr4_000010.webm,https://commons.wikimedia.org/wiki/File:Fires_Billow_Smoke_Across_the_Pacific_Northwest_(CIRA_2024-09-05_-_nolabels).webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/9/94/Fires_Billow_Smoke_Across_the_Pacific_Northwest_(CIRA_2024-09-05_-_nolabels).webm/Fires_Billow_Smoke_Across_the_Pacific_Northwest_(CIRA_2024-09-05_-_nolabels).webm.360p.webm,NOAA/CIRA public-domain likely; Commons page/license review needed,false,,,,9208e580151bdb729cac3cc14ce09a3dd7e3a9c7aeb1b41c58d583d0c56747c4,315474,downloaded,
vdcr_v1_000036,vdcr_000036,vdcr_commons_mr5_000001,release/media/videos/vdcr_v1_000036.webm,media/vdcr_commons_manual_round5_v1/vdcr_commons_mr5_000001.webm,https://commons.wikimedia.org/wiki/File:Paranuss-Effekt_Brazil_Nut_Effect_Granular_Convection.webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/d/d9/Paranuss-Effekt_Brazil_Nut_Effect_Granular_Convection.webm/Paranuss-Effekt_Brazil_Nut_Effect_Granular_Convection.webm.360p.webm,CC-BY-SA-4.0 Commons own work,false,,,,416f517248d66063b571ae248a05c70cd9cd8c8db40f0a7d92405a0f703e579b,1303160,downloaded,
vdcr_v1_000037,vdcr_000037,vdcr_commons_mr5_000003,release/media/videos/vdcr_v1_000037.webm,media/vdcr_commons_manual_round5_v1/vdcr_commons_mr5_000003.webm,https://commons.wikimedia.org/wiki/File:Pinch-off_in_two-fluid_systems.webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/3/3e/Pinch-off_in_two-fluid_systems.webm/Pinch-off_in_two-fluid_systems.webm.360p.webm,CC-BY-3.0 YouTube source reviewed on Commons,false,,,,eea7fff38c8295fe3fddb67fad2a94da9318cbe50e4104abbeecbfb0711d0188,484551,downloaded,
vdcr_v1_000038,vdcr_000038,vdcr_commons_mr6_000001,release/media/videos/vdcr_v1_000038.webm,media/vdcr_commons_manual_round6_v1/vdcr_commons_mr6_000001.ogv,https://commons.wikimedia.org/wiki/File:Entropy-driven-formation-of-chiral-nematic-phases-by-computer-simulations-ncomms11175-s4.ogv,https://upload.wikimedia.org/wikipedia/commons/transcoded/7/7d/Entropy-driven-formation-of-chiral-nematic-phases-by-computer-simulations-ncomms11175-s4.ogv/Entropy-driven-formation-of-chiral-nematic-phases-by-computer-simulations-ncomms11175-s4.ogv.360p.webm,CC-BY-4.0 Commons/Nature Communications supplementary movie,false,,,,c76e8a6bb967eb041b271cb3ad8bfe0960edd9103db4317df8860bc4f9084b10,2486779,downloaded,
vdcr_v1_000039,vdcr_000039,vdcr_commons_mr7_000002,release/media/videos/vdcr_v1_000039.webm,media/vdcr_commons_manual_round7_v1/vdcr_commons_mr7_000002.webm,https://commons.wikimedia.org/wiki/File:Animation_of_swimming_ciliate.webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/f/f0/Animation_of_swimming_ciliate.webm/Animation_of_swimming_ciliate.webm.360p.webm,CC-BY-SA-4.0 Commons reviewed scientific animation,false,,,,84c0af5a3ec66f7f654e7a3cd559e60e2a2a6aee7715502ad7aba05234c6ea43,936082,downloaded,
vdcr_v1_000040,vdcr_000040,vdcr_commons_mr8_000001,release/media/videos/vdcr_v1_000040.webm,media/vdcr_commons_manual_segments_round8_v1/vdcr_commons_mr8_000001_noaudio.webm,"https://commons.wikimedia.org/wiki/File:An_explosive_eruption_occurred_at_Kanlaon_Volcano_on_December_9,_2024.webm",https://upload.wikimedia.org/wikipedia/commons/transcoded/5/57/An_explosive_eruption_occurred_at_Kanlaon_Volcano_on_December_9%2C_2024.webm/An_explosive_eruption_occurred_at_Kanlaon_Volcano_on_December_9%2C_2024.webm.360p.webm,Public domain Commons/PHIVOLCS-DOST,true,,,noaudio,08bfd8f0a0e2e51e27292fe1a0b8000bc4755fc4fe5c79e537ae5054ee8949be,3302175,downloaded_source_fallback,source fallback; processed derivative not available
vdcr_v1_000041,vdcr_000041,vdcr_commons_mr8_000003,release/media/videos/vdcr_v1_000041.webm,media/vdcr_commons_manual_round8_v1/vdcr_commons_mr8_000003.gif,https://commons.wikimedia.org/wiki/File:Meandering_on_Ucayali_River.gif,https://upload.wikimedia.org/wikipedia/commons/b/b7/Meandering_on_Ucayali_River.gif,CC-BY-SA-4.0 Commons own work,false,,,,3853276fce0926ee3e4adb382ba39116d5caa585a779dbd01927ebbdd9b66d3f,11384064,downloaded,
vdcr_v1_000042,vdcr_000042,vdcr_commons_mr9_000001,release/media/videos/vdcr_v1_000042.webm,media/vdcr_commons_manual_round9_v1/vdcr_commons_mr9_000001.ogv,https://commons.wikimedia.org/wiki/File:Kelvin-Helmholtz_Instability.ogv,https://upload.wikimedia.org/wikipedia/commons/transcoded/d/d8/Kelvin-Helmholtz_Instability.ogv/Kelvin-Helmholtz_Instability.ogv.360p.webm,Public domain Commons simulation,false,,,,07090ca81fbe522fe37ec95831b7d673ae407369c59a21bd61995d152250f924,398043,downloaded,
vdcr_v1_000043,vdcr_000043,vdcr_commons_mr9_000002,release/media/videos/vdcr_v1_000043.mp4,media/vdcr_commons_manual_segments_round9_v1/vdcr_commons_mr9_000002_seg_003000_355000_noaudio.mp4,https://commons.wikimedia.org/wiki/File:Origin-and-dynamics-of-vortex-rings-in-drop-splashing-ncomms9187-s3.ogv,https://upload.wikimedia.org/wikipedia/commons/transcoded/4/40/Origin-and-dynamics-of-vortex-rings-in-drop-splashing-ncomms9187-s3.ogv/Origin-and-dynamics-of-vortex-rings-in-drop-splashing-ncomms9187-s3.ogv.360p.webm,CC-BY-4.0 Commons/Nature Communications supplementary movie,true,3.0,355.0,seg_003000_355000_noaudio,0006cdc860a613115b430cb83e70ecad417e70120a6748caf69fe40f5cf76e7b,1895091,rebuilt_segment,
vdcr_v1_000044,vdcr_000044,vdcr_commons_mr9_000004,release/media/videos/vdcr_v1_000044.webm,media/vdcr_commons_manual_segments_round9_v1/vdcr_commons_mr9_000004_noaudio.webm,https://commons.wikimedia.org/wiki/File:Bubble_net_feeding.webm,https://upload.wikimedia.org/wikipedia/commons/transcoded/f/fe/Bubble_net_feeding.webm/Bubble_net_feeding.webm.360p.webm,CC-BY-4.0 license review needed,true,,,noaudio,9d928a22108541481cec3c7160b30e75718d8e3a516799254e27093b6b2d2615,3576414,downloaded_source_fallback,source fallback; processed derivative not available
vdcr_v1_000045,vdcr_000045,vdcr_commons_mr10_000002,release/media/videos/vdcr_v1_000045.gif,media/vdcr_commons_manual_round10_v1/vdcr_commons_mr10_000002.gif,https://commons.wikimedia.org/wiki/File:Dendrite_formation.gif,https://upload.wikimedia.org/wikipedia/commons/4/4d/Dendrite_formation.gif,Public domain Commons animation,false,,,,2703da9f0f6ddd9c7c876c23e9153fa34ca0ae0d73ddf26002b8cdd310c45ba6,16014,existing_release,
vdcr_v1_000046,vdcr_000046,vdcr_commons_mr10_000004,release/media/videos/vdcr_v1_000046.mp4,media/vdcr_commons_manual_segments_round10_v1/vdcr_commons_mr10_000004_seg_012000_460000_lowerfoam_noaudio.mp4,https://commons.wikimedia.org/wiki/File:A-general-patterning-approach-by-manipulating-the-evolution-of-two-dimensional-liquid-foams-ncomms14110-s2.ogv,https://upload.wikimedia.org/wikipedia/commons/transcoded/b/bc/A-general-patterning-approach-by-manipulating-the-evolution-of-two-dimensional-liquid-foams-ncomms14110-s2.ogv/A-general-patterning-approach-by-manipulating-the-evolution-of-two-dimensional-liquid-foams-ncomms14110-s2.ogv.360p.webm,CC-BY-4.0 Commons/Nature Communications supplementary movie,true,12.0,460.0,seg_012000_460000_lowerfoam_noaudio,b32ca78038f243c7a8a747378d39e6011ef297f6ed8e414f6b230c902e21fdba,1251082,rebuilt_segment,
