video_id,split,domain,subdomain,concept_id,answer,local_media,duration_sec,source_url,license_or_usage_note,concept_validity_tier,production_gate
vdcr_000011,pilot,earth_environmental_systems,earth_family_05,vdcr_concept_0218,Ice Cliff Calving,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000014_seg_042000_055000.mp4,13.0,https://archive.org/details/vimeo-303438254,archive_license_verify_on_page,strict_main_candidate,must_show_crack_or_instability_then_ice_cliff_detachment_and_fall_sequence
vdcr_000012,pilot,chemistry_materials_change,materials_family_03,vdcr_concept_0070,Iodine Clock Reaction,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000006_seg_270000_280000_crop.mp4,10.01,https://archive.org/details/youtube-f9CVF4yLluY,archive_license_verify_on_page,core_main,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_000013,pilot,biology_living_systems,biology_family_05,vdcr_concept_0153,Cytoplasmic Streaming,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000028_seg_075000_115000.mp4,40.007,https://archive.org/details/ccpamd-amoeba,archive_license_verify_on_page,core_main,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_000014,pilot,biology_living_systems,biology_family_04,vdcr_concept_0146,Thigmonasty,media/vdcr_raw_pilot_v1/vdcr_archive_b03_000027.mp4,12.9,https://archive.org/details/wikimedia-org-Mimosa_pudica_leaves_folding_when_touched_3,archive_license_verify_on_page,core_main,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_000015,pilot,chemistry_materials_change,materials_family_01,vdcr_concept_0059,Shear Thickening,media/vdcr_segments_pilot_v1/vdcr_archive_b02_000004_seg_178000_196000.mp4,18.001,https://archive.org/details/youtube-4AxiXS9n0dw,archive_license_verify_on_page,core_main,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_000016,pilot,earth_environmental_systems,earth_family_04,vdcr_concept_0212,Aa Lava Front Advance,media/vdcr_segments_pilot_v1/vdcr_archive_earth_000010_seg_120000_145000.ogv,24.992,https://archive.org/details/volcanoes,http://creativecommons.org/licenses/publicdomain/,strict_main_candidate,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_000017,pilot,earth_environmental_systems,earth_family_06,vdcr_concept_0222,Fire-Whirl Vortex Formation,media/vdcr_segments_pilot_v1/vdcr_archive_b03_000057_seg_034000_050000_crop.ogv,16.016,https://archive.org/details/B.C.FirefighterCapturesVideoOfFireWhirl,archive_license_verify_on_page,strict_main_candidate,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_000018,pilot,chemistry_materials_change,materials_family_04,vdcr_concept_0076,Chemical Garden Growth,media/vdcr_commons_manual_segments_round1_v1/vdcr_commons_mr1_000001_seg_008000_020000.mp4,12.0,https://commons.wikimedia.org/wiki/File:Chemical_garden_growing.webm,CC-BY-3.0 reviewed YouTube source on Commons,core_main,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_000019,pilot,chemistry_materials_change,materials_family_03,vdcr_concept_0071,Blue Bottle Reaction,media/vdcr_commons_manual_segments_round1_v1/vdcr_commons_mr1_000002_seg_020000_150000.mp4,130.0,https://commons.wikimedia.org/wiki/File:Blue_bottle_(chemical_reaction).webm,CC-BY-3.0 reviewed YouTube source on Commons,strict_main_candidate,must_show_shaking_or_oxygenation_cycle_and_reversible_color_recovery_without_title_leakage
vdcr_000020,pilot,biology_living_systems,biology_family_04,vdcr_concept_0143,Phototropism,media/vdcr_commons_manual_round1_v1/vdcr_commons_mr1_000003.webm,18.018,https://commons.wikimedia.org/wiki/File:Phototropism_in_Solanum_lycopersicum.webm,CC-BY reviewed YouTube source on Commons,core_main,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_000021,pilot,earth_environmental_systems,earth_family_08,vdcr_concept_0235,Tidal Bore,media/vdcr_commons_manual_segments_round1_v1/vdcr_commons_mr1_000004_seg_020000_100000.mp4,80.0,https://commons.wikimedia.org/wiki/File:Arnside_bore.ogv,CC-BY-SA-3.0,core_main,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_000022,pilot,physics_physical_systems,physics_family_01,vdcr_concept_0008,Hydraulic Jump,media/vdcr_commons_manual_segments_round1_v1/vdcr_commons_mr1_000006_seg_020000_055000.mp4,35.0,https://commons.wikimedia.org/wiki/File:%D0%93%D0%B8%D0%B4%D1%80%D0%B0%D0%B2%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D1%80%D1%8B%D0%B6%D0%BE%D0%BA.webm,CC-BY-3.0 GetAClass/Wikimedia RU project,core_main,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_000023,pilot,physics_physical_systems,physics_family_01,vdcr_concept_0002,Vortex Shedding / Karman Vortex Street,media/vdcr_commons_manual_round2_v1/vdcr_commons_mr2_000001.ogv,5.239,https://commons.wikimedia.org/wiki/File:K-V_Street_Video1.ogv,Public domain on Commons,core_main,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_000024,pilot,physics_physical_systems,physics_family_02,vdcr_concept_0014,Leidenfrost Droplet Motion,media/vdcr_commons_manual_round2_v1/vdcr_commons_mr2_000002.webm,17.512,https://commons.wikimedia.org/wiki/File:Effet_Leidenfrost.webm,CC-BY-SA-4.0 on Commons,strict_main_candidate,must_show_hot_surface_vapor_cushion_behavior_sustained_sliding_or_lifetime_change_without_text_leakage
vdcr_000025,pilot,physics_physical_systems,physics_family_02,vdcr_concept_0012,Capillary-Driven Jet/Thread Breakup,media/vdcr_commons_manual_round2_v1/vdcr_commons_mr2_000003.webm,9.4,https://commons.wikimedia.org/wiki/File:Capillary_breakup.webm,CC-BY-SA-4.0 on Commons,strict_main_candidate,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_000026,pilot,earth_environmental_systems,earth_family_01,vdcr_concept_0191,Supercell Mesocyclone Rotation,media/vdcr_commons_manual_round2_v1/vdcr_commons_mr2_000004.webm,10.034,https://commons.wikimedia.org/wiki/File:A_supercell_with_rotating_updraft_in_SE_Colorado_and_SW_Kansas_(CIRA_2019-05-03).webm,Public domain NOAA/CSU-CIRA material on Commons,core_main,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_000027,pilot,chemistry_materials_change,materials_family_02,vdcr_concept_0069,Supercooled Liquid Rapid Crystallization,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000001.ogv,45.081,https://commons.wikimedia.org/wiki/File:32._%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%98%D0%B0_%D0%BD%D0%B0_%D0%BD%D0%B0%D1%82%D1%80%D0%B8%D1%83%D0%BC_%D0%B0%D1%86%D0%B5%D1%82%D0%B0%D1%82.ogv,CC-BY-SA-4.0 on Commons own work,core_main,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_000028,pilot,chemistry_materials_change,materials_family_04,vdcr_concept_0078,Liesegang Ring Formation,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000002.webm,31.419,https://commons.wikimedia.org/wiki/File:Liesegang_band_experiment.webm,CC-BY-3.0 YouTube source reviewed on Commons,core_main,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_000029,pilot,chemistry_materials_change,materials_family_06,vdcr_concept_0086,Thin-Film Dewetting,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000004.ogv,17.917,https://commons.wikimedia.org/wiki/File:Multiplex-lithography-for-multilevel-multiscale-architectures-and-its-application-to-polymer-ncomms9484-s3.ogv,CC-BY-4.0 on Commons from Nature Communications supplementary movie,core_main,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_000030,pilot,biology_living_systems,biology_family_04,vdcr_concept_0151,Bistable Snap-Trap Closure,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000005.webm,88.239,https://commons.wikimedia.org/wiki/File:Venus_Flytrap_(time_lapse).webm,CC-BY-3.0 YouTube source reviewed on Commons,core_main,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_000031,pilot,earth_environmental_systems,earth_family_01,vdcr_concept_0194,Gust Front Propagation,media/vdcr_commons_manual_round3_v1/vdcr_commons_mr3_000007.webm,5.138,https://commons.wikimedia.org/wiki/File:Gust_Front_Expands_From_Storms_Over_the_Gulf_of_Mexico_(CIRA_2024-04-29_-_nolabels_portrait).webm,Public domain NOAA/CSU-CIRA material on Commons,strict_main_candidate,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_000032,pilot,biology_living_systems,biology_family_07,vdcr_concept_0168,Microtubule Dynamic Instability,media/vdcr_commons_manual_round4_v1/vdcr_commons_mr4_000002.ogv,13.367,https://commons.wikimedia.org/wiki/File:MicrotubuleDynamicInstability.ogv,Commons page/license review needed,core_main,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_000033,pilot,biology_living_systems,biology_family_05,vdcr_concept_0159,Calcium Wave Propagation,media/vdcr_commons_manual_round4_v1/vdcr_commons_mr4_000003.ogv,5.0,https://commons.wikimedia.org/wiki/File:Calcium-Wave-Propagation-in-Networks-of-Endothelial-Cells-Model-based-Theoretical-and-Experimental-pcbi.1002847.s006.ogv,Commons/PLOS supplementary license review needed,core_main,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_000034,pilot,earth_environmental_systems,earth_family_07,vdcr_concept_0232,Dust Storm Front Propagation,media/vdcr_commons_manual_round4_v1/vdcr_commons_mr4_000007.webm,17.441,https://commons.wikimedia.org/wiki/File:Phoenix_DustStorm.webm,Commons page/license review needed,strict_main_candidate,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_000035,pilot,earth_environmental_systems,earth_family_06,vdcr_concept_0225,Buoyancy-Driven Smoke Plume Rise,media/vdcr_commons_manual_round4_v1/vdcr_commons_mr4_000010.webm,4.104,https://commons.wikimedia.org/wiki/File:Fires_Billow_Smoke_Across_the_Pacific_Northwest_(CIRA_2024-09-05_-_nolabels).webm,NOAA/CIRA public-domain likely; Commons page/license review needed,strict_main_candidate,must_show_buoyancy_driven_plume_generation_rise_and_expansion_not_just_smoke
vdcr_000036,pilot,physics_physical_systems,physics_family_04,vdcr_concept_0028,Brazil Nut Effect,media/vdcr_commons_manual_round5_v1/vdcr_commons_mr5_000001.webm,18.073,https://commons.wikimedia.org/wiki/File:Paranuss-Effekt_Brazil_Nut_Effect_Granular_Convection.webm,CC-BY-SA-4.0 Commons own work,core_main,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_000037,pilot,physics_physical_systems,physics_family_02,vdcr_concept_0013,Liquid Bridge Pinch-Off,media/vdcr_commons_manual_round5_v1/vdcr_commons_mr5_000003.webm,7.513,https://commons.wikimedia.org/wiki/File:Pinch-off_in_two-fluid_systems.webm,CC-BY-3.0 YouTube source reviewed on Commons,strict_main_candidate,must_show_bridge_stretching_necking_and_final_breakup_sequence
vdcr_000038,pilot,chemistry_materials_change,materials_family_06,vdcr_concept_0083,Spinodal Decomposition,media/vdcr_commons_manual_round6_v1/vdcr_commons_mr6_000001.ogv,23.76,https://commons.wikimedia.org/wiki/File:Entropy-driven-formation-of-chiral-nematic-phases-by-computer-simulations-ncomms11175-s4.ogv,CC-BY-4.0 Commons/Nature Communications supplementary movie,core_main,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_000039,pilot,biology_living_systems,biology_family_01,vdcr_concept_0111,Metachronal Wave Locomotion,media/vdcr_commons_manual_round7_v1/vdcr_commons_mr7_000002.webm,14.44,https://commons.wikimedia.org/wiki/File:Animation_of_swimming_ciliate.webm,CC-BY-SA-4.0 Commons reviewed scientific animation,core_main,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_000040,pilot,earth_environmental_systems,earth_family_04,vdcr_concept_0210,Pyroclastic Density Current,media/vdcr_commons_manual_segments_round8_v1/vdcr_commons_mr8_000001_noaudio.webm,25.017,"https://commons.wikimedia.org/wiki/File:An_explosive_eruption_occurred_at_Kanlaon_Volcano_on_December_9,_2024.webm",Public domain Commons/PHIVOLCS-DOST,core_main,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_000041,pilot,earth_environmental_systems,earth_family_02,vdcr_concept_0196,Meander Neck Cutoff,media/vdcr_commons_manual_round8_v1/vdcr_commons_mr8_000003.gif,5.6,https://commons.wikimedia.org/wiki/File:Meandering_on_Ucayali_River.gif,CC-BY-SA-4.0 Commons own work,core_main,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_000042,pilot,physics_physical_systems,physics_family_01,vdcr_concept_0004,Kelvin-Helmholtz Instability,media/vdcr_commons_manual_round9_v1/vdcr_commons_mr9_000001.ogv,8.267,https://commons.wikimedia.org/wiki/File:Kelvin-Helmholtz_Instability.ogv,Public domain Commons simulation,core_main,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_000043,pilot,physics_physical_systems,physics_family_05,vdcr_concept_0039,Vortex Ring Formation,media/vdcr_commons_manual_segments_round9_v1/vdcr_commons_mr9_000002_seg_003000_355000_noaudio.mp4,32.533,https://commons.wikimedia.org/wiki/File:Origin-and-dynamics-of-vortex-rings-in-drop-splashing-ncomms9187-s3.ogv,CC-BY-4.0 Commons/Nature Communications supplementary movie,core_main,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_000044,pilot,biology_living_systems,biology_family_01,vdcr_concept_0112,Bubble-Net Feeding,media/vdcr_commons_manual_segments_round9_v1/vdcr_commons_mr9_000004_noaudio.webm,42.988,https://commons.wikimedia.org/wiki/File:Bubble_net_feeding.webm,CC-BY-4.0 license review needed,core_main,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_000045,pilot,chemistry_materials_change,materials_family_02,vdcr_concept_0066,Dendritic Crystal Growth,media/vdcr_commons_manual_round10_v1/vdcr_commons_mr10_000002.gif,2.5,https://commons.wikimedia.org/wiki/File:Dendrite_formation.gif,Public domain Commons animation,core_main,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_000046,pilot,chemistry_materials_change,materials_family_06,vdcr_concept_0084,Ostwald Ripening,media/vdcr_commons_manual_segments_round10_v1/vdcr_commons_mr10_000004_seg_012000_460000_lowerfoam_noaudio.mp4,34.0,https://commons.wikimedia.org/wiki/File:A-general-patterning-approach-by-manipulating-the-evolution-of-two-dimensional-liquid-foams-ncomms14110-s2.ogv,CC-BY-4.0 Commons/Nature Communications supplementary movie,strict_main_candidate,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_000047,pilot,biology_living_systems,biology_family_05,vdcr_concept_0157,Axonal Transport,media/vdcr_commons_manual_round11_v1/vdcr_commons_mr11_000003.ogv,20.0,https://commons.wikimedia.org/wiki/File:Rabies-Virus-Hijacks-and-Accelerates-the-p75NTR-Retrograde-Axonal-Transport-Machinery-ppat.1004348.s005.ogv,CC BY 4.0,strict_main_candidate,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_000048,pilot,biology_living_systems,biology_family_06,vdcr_concept_0164,Phagocytosis,media/vdcr_commons_manual_round11_v1/vdcr_commons_mr11_000004.webm,57.8,https://commons.wikimedia.org/wiki/File:%D0%9D%D0%B5%D0%B9%D1%82%D1%80%D0%BE%D1%84%D0%B8%D0%BB_%D0%BA%D1%80%D0%BE%D0%B2%D0%B8_%D1%87%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA%D0%B0_%D1%84%D0%B0%D0%B3%D0%BE%D1%86%D0%B8%D1%82%D0%B8%D1%80%D1%83%D0%B5%D1%82_%D0%B1%D0%B0%D0%BA%D1%82%D0%B5%D1%80%D0%B8%D1%8E.webm,CC BY 4.0,strict_main_candidate,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_000049,pilot,earth_environmental_systems,earth_family_03,vdcr_concept_0209,Debris-Flow Surge Propagation,media/vdcr_commons_manual_segments_round12_v1/vdcr_commons_mr12_000002_seg_000000_040000_noaudio.webm,40.0,https://commons.wikimedia.org/wiki/File:Bondo_Aug_2017.webm,CC0,strict_main_candidate,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_000050,pilot,earth_environmental_systems,earth_family_08,vdcr_concept_0234,Plunging Breaker,media/vdcr_commons_manual_round12_v1/vdcr_commons_mr12_000003.gif,8.75,https://commons.wikimedia.org/wiki/File:Plunging_breaker_single.gif,CC BY-SA 2.0 DE,strict_main_candidate,must_show_crest_steepening_overturning_entrainment_and_breaking_sequence
vdcr_000051,pilot,earth_environmental_systems,earth_family_06,vdcr_concept_0227,Pyrocumulus Development,media/vdcr_commons_manual_round12_v1/vdcr_commons_mr12_000005.webm,5.272,https://commons.wikimedia.org/wiki/File:Pyrocumulonimbus_Billow_From_Alberta_Wildfires_(CIRA_2025-05-30_-_nolabels).webm,Public domain NOAA,strict_main_candidate,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_000052,pilot,physics_physical_systems,physics_family_01,vdcr_concept_0003,Cavitation Bubble Growth and Collapse,media/vdcr_commons_manual_round13_v1/vdcr_commons_mr13_000001.ogv,56.14,https://commons.wikimedia.org/wiki/File:Cavitation_in_a_gear_pump.ogv,CC0,core_main,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_000053,pilot,chemistry_materials_change,materials_family_03,vdcr_concept_0072,Chemical Traffic Light Reaction,media/vdcr_commons_manual_round13_v1/vdcr_commons_mr13_000003.webm,56.617,https://commons.wikimedia.org/wiki/File:Chemical_traffic_light_reaction_time-lapse.webm,CC BY-SA 4.0/GFDL,strict_main_candidate,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_000055,pilot,chemistry_materials_change,materials_family_08,vdcr_concept_0098,Electrolysis Bubble Nucleation and Detachment,media/vdcr_segments_pilot_v1/vdcr_commons_mr14_000001_seg_000000_031270_noaudio.webm,30.709,https://commons.wikimedia.org/wiki/File:Separating-hydrogen-and-oxygen-evolution-in-alkaline-water-electrolysis-using-nickel-hydroxide-ncomms11741-s4.ogv,CC BY 4.0 Commons/Nature Communications supplementary movie,strict_main_candidate,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_000056,pilot,biology_living_systems,biology_family_05,vdcr_concept_0158,Coordinated Ciliary Beating Dynamics,media/vdcr_segments_pilot_v1/vdcr_commons_mr14_000004_seg_000000_016667_clean.webm,16.667,https://commons.wikimedia.org/wiki/File:Mutation-of-Growth-Arrest-Specific-8-Reveals-a-Role-in-Motile-Cilia-Function-and-Human-Disease-pgen.1006220.s002.ogv,CC BY 4.0 Commons/PLOS Genetics supplementary movie,strict_main_candidate,must_show_coordinated_repeated_ciliary_motion_or_metachronal_pattern_not_static_cell_structure
vdcr_000057,pilot,physics_physical_systems,physics_family_04,vdcr_concept_0024,Gyroscopic Precession,media/vdcr_commons_manual_round15_v1/vdcr_commons_mr15_000001.gif,2.1,https://commons.wikimedia.org/wiki/File:Gyroscope_precession.gif,Public domain Commons animation,core_main,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_000058,pilot,earth_environmental_systems,earth_family_02,vdcr_concept_0201,Turbidity Current Propagation,media/vdcr_segments_pilot_v1/vdcr_commons_mr15_000004_seg_036000_079000_clean.webm,43.009,https://serc.carleton.edu/details/files/31382.html,CC BY-NC-SA 3.0 noncommercial educational media; final release audit required,strict_main_candidate,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_000059,pilot,biology_living_systems,biology_family_04,vdcr_concept_0148,Nyctinasty,media/vdcr_segments_pilot_v1/vdcr_commons_mr15_000005_seg_000000_051000_crop_clean.webm,50.88,https://commons.wikimedia.org/wiki/File:Nachtkerze02-50p.ogv,CC BY-SA 3.0 Commons own-work video,core_main,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_000060,pilot,chemistry_materials_change,materials_family_07,vdcr_concept_0089,Reactive Flame-Front Propagation,media/vdcr_segments_pilot_v1/vdcr_commons_mr16_000001_seg_000000_015206_clean.webm,15.2,https://commons.wikimedia.org/wiki/File:Slow-motion_video_of_flame_front_extending_along_a_channel.webm,CC BY-SA 4.0 Commons own-work video; clean derivative required,strict_main_candidate,must_show_reactive_flame_front_advancing_through_fuel_or_mixture_not_generic_fire_motion
vdcr_000061,pilot,chemistry_materials_change,materials_family_08,vdcr_concept_0097,Metal Displacement Dendrite Growth,media/vdcr_segments_pilot_v1/vdcr_commons_mr17_000002_seg_000000_031371_clean.webm,31.364,https://commons.wikimedia.org/wiki/File:Silver.webm,CC BY 4.0 Commons own-work microscopy video; clean derivative required,strict_main_candidate,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_000062,pilot,biology_living_systems,biology_family_04,vdcr_concept_0144,Gravitropism,media/vdcr_commons_manual_round17_v1/vdcr_commons_mr17_000004.gif,1.6,https://commons.wikimedia.org/wiki/File:Gravitropism_in_Roots.gif,CC BY-SA 4.0 Commons own-work animation,core_main,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_000063,pilot,earth_environmental_systems,earth_family_01,vdcr_concept_0192,Tornadogenesis,media/vdcr_segments_pilot_v1/vdcr_commons_mr17_000006_seg_000000_036218_clean.webm,36.217,https://commons.wikimedia.org/wiki/File:Tornado_time_lapse.webm,CC BY-SA 4.0,core_main,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
vdcr_000064,pilot,physics_physical_systems,physics_family_02,vdcr_concept_0009,Rayleigh-Plateau Breakup,media/vdcr_commons_manual_round17_v1/vdcr_commons_mr17_000007.ogv,4.0,https://commons.wikimedia.org/wiki/File:Water_drop_animation_enhanced.ogv,CC BY-SA 3.0 Commons slow-motion animation; no-audio derivative if admitted,core_main,video_must_show_named_dynamic_mechanism_sequence_without_title_or_source_leakage
vdcr_000065,pilot,physics_physical_systems,physics_family_02,vdcr_concept_0015,Marangoni-Driven Flow,media/vdcr_commons_manual_round18_v1/vdcr_commons_mr18_000001.ogv,5.6,https://commons.wikimedia.org/wiki/File:Marangoni-effect-visualized-in-two-dimensions-Optical-tweezers-for-gas-bubbles-srep34787-s6.ogv,CC BY 4.0 Commons/Scientific Reports supplementary video,strict_main_candidate,must_show_surface_tension_gradient_driven_directed_transport_with_source_double_check
vdcr_000066,pilot,chemistry_materials_change,materials_family_01,vdcr_concept_0064,Weissenberg Rod-Climbing Effect,media/vdcr_segments_pilot_v1/vdcr_commons_mr18_000003_seg_000000_024000_crop_clean.webm,24.0,https://web.mit.edu/nnf/research/phenomena/rodclimbing.html,MIT educational source; final release license/permission audit required,core_main,video_must_show_material_or_reaction_state_evolution; source_text_may_only_double_check_not_supply_answer
vdcr_000067,pilot,biology_living_systems,biology_family_09,vdcr_concept_0184,Plasmolysis and Deplasmolysis,media/vdcr_commons_manual_round18_v1/vdcr_commons_mr18_000004.ogv,20.787,https://commons.wikimedia.org/wiki/File:Plazmoliz_and_deplazmoliz.ogv,CC BY-SA 4.0 Commons onion epidermal timelapse,strict_main_candidate,video_must_show_biological_dynamic_sequence_or_strategy_not_species_or_generic_action
vdcr_000068,pilot,earth_environmental_systems,earth_family_02,vdcr_concept_0198,River Avulsion,media/vdcr_commons_manual_round18_v1/vdcr_commons_mr18_000005.mp4,3.9,https://developers.google.com/earth-engine/timelapse/videos#kosi-river-bihar-india,CC BY 4.0 no-label Earth Timelapse video; attribution required,strict_main_candidate,video_must_show_process_evolution_or_instability_sequence_not_static_landform_or_event_label
